station,city,email,country
KOTZ,"Kotzebue, AK",jgreene@kotz.org,USA
Island 92,"Pago Pago, AS",info@ksbsfm92.com,USA
KNWJ,"Leone, AS",info@fm104.org,USA
93KHJ,"Pago Pago, AS",sunrise@khjradio.com,USA
V103,"Faga`itua, AS",info@wvuv.com,USA
Z-93.3,"Page, AZ",dantheman@kxaz.com,USA
KAWC-FM,"Yuma, AZ",brenda.badilla@kawc.org,USA
KWIM,"Window Rock, AZ",office@hilltopchristian.com,USA
Majik 100.7,"Duncan, AZ",traffic@kjik.fm,USA
KKYZ,"Sierra Vista, AZ",info@kkyz.com,USA
KGPS-LP,"Kingman, AZ",calvarykingman@gmail.com,USA
KJPN,"Payson, AZ",contact@radio74.org,USA
Hopi Radio,"Hotevilla, AZ",info@kuyi.net,USA
KBLU,"Yuma, AZ",jeffedwards@edbroadcasters.com,USA
Puro Radio Amigo,"Wellton, AZ",pepeton.radioamigo@yahoo.com,USA
La Campesina,"Wellton, AZ",admin@campesinainfo.com,USA
Gila 101.9,"Miami, AZ",radio@gila1019.com,USA
Majik 101.7,"Springerville, AZ",mail@majik101.com,USA
KMOG,"Payson, AZ",kmog@1420kmog.com,USA
Q Country 92.5,"Eagar, AZ",mail@qcountry92.com,USA
KYET,"Golden Valley, AZ",saleskgmn@gmail.com,USA
KNOG,"Nogales, AZ",knog@lwrn.org,USA
The Cave,"Benson, AZ",me@cavefm.com,USA
X Wave,"Tanque Verde, AZ",marklucke@qwestoffice.net,USA
KWFH,"Parker, AZ",info@kwfh.org,USA
KNLB,"Lake Havasu City, AZ",info@knlb.com,USA
Radio Free Bisbee,"Bisbee, AZ",kbrp@kbrp.org,USA
KJAA,"Globe, AZ",radio@jukebox1240.com,USA
KAWC,"Yuma, AZ",brenda.badilla@kawc.org,USA
KPUP-LP,"Patagonia, AZ",admin@kpup.info,USA
Outlaw 95.9,"Globe, AZ",info@outlaw959.com,USA
KLPZ,"Parker, AZ",info@klpz1380.com,USA
Star 100.9,"Yuma, AZ",jeffedwards@edbroadcasters.com,USA
Storm 96.5,"Show Low, AZ",wmrtraffic@gmail.com,USA
KRIM-FM,"Payson, AZ",info@krimfm.com,USA
KYRM,"Yuma, AZ",kyrm@lwrn.org,USA
KQEW,"Fordyce, AR",kbjt@windstream.net,USA
Mountain Country 94,"Viola, AR",roy@mountainhomeradio.com,USA
Magic 104.5,"Camden, AR",helenaregood@yesradioworks.com,USA
Z100.7,"Kensett, AR",grantcarey@crainmedia.com,USA
KXRJ,"Russellville, AR",mmorris@atu.edu,USA
KWCK-FM,"Searcy, AR",heathshelby@crainmedia.com,USA
The Stallion,"Pangburn, AR",grantcarey@crainmedia.com,USA
KCAT,"Pine Bluff, AR",em@lordradio.com,USA
Force 3 Radio,"West Helena, AR",force2@sbcglobal.net,USA
Classic Hits 105.3,"Mena, AR",menaradio@aol.com,USA
KCJC-FM,"Dardanelle, AR",rich@rivervalleyradio.com,USA
KCMH,"Mountain Home, AR",lorra@kcmhradio.com,USA
102 The Good Path,"De Queen, AR",102thegoodpath@gmail.com,USA
KXIO,"Clarksville, AR",office@kxio-fmradio.com,USA
KFFB,"Fairfield Bay, AR",Bob@kffb.com,USA
Cool 104,"Des Arc, AR",hotrod@cool1047.com,USA
KAWX-LP,"Mena, AR",w5awx@live.com,USA
KVHU,"Judsonia, AR",KVHU@harding.edu,USA
Mountain Talk 97,"Calico Rock, AR",scott@mountainhomeradio.com,USA
The Bull,"Magness, AR",thebull@crainmedia.com,USA
K97,"Camden, AR",radioworks@cablelynx.com,USA
KCAC,"Camden, AR",vwilson@sautech.edu,USA
KLLN,"Newark, AR",SouthernGospelRadio@ymail.com,USA
KDQN-FM,"De Queen, AR",numberonecountry@yahoo.com,USA
KMUD,"Garberville, CA",tunein@kmud.org,USA
KCNO,"Alturas, CA",englishradio@edimediainc.com,USA
Broken FM,"Hopland, CA",korb@broken.fm,USA
K-Wine,"Ukiah, CA",cherie@kwine.com,USA
KZIQ-FM,"Ridgecrest, CA",sunsetmedia@verizon.net,USA
KVMR,"Nevada City, CA",news@kvmr.org,USA
KXO-FM,"El Centro, CA",kxoamfm@kxoradio.com,USA
Pilgrim Radio,"Bishop, CA",friar@schat.com,USA
KXO,"El Centro, CA",kxoamfm@kxoradio.com,USA
KHSU,"Arcata, CA",admin@khsu.org,USA
991 KISS FM,"Ferndale, CA",randy@kjny.net,USA
KRSF,"Ridgecrest, CA",Pogge@KRSF.NET,USA
KVML,"Sonora, CA",info@kvmlam.com,USA
K-Chapel 97.1,"Arcata, CA",radio@kchapel.com,USA
The Knack,"Needles, CA",info@theknack107.com,USA
KZYX,"Philo, CA",gm@kzyx.org,USA
KQNY,"Quincy, CA",kqny@att.net,USA
The Skunk FM,"Mendocino, CA",bobkunk@email.com,USA
KIDE Radio,"Hoopa, CA",kide@hoopa-nsn.gov,USA
KRHV,"Big Pine, CA",kmmtradioworks@yahoo.com,USA
Radio Mexicana,"Gerber, CA",radiomexicana997@gmail.com,USA
KMMT,"Mammoth Lakes, CA",kmmtradioworks@yahoo.com,USA
The COAST,"Fort Bragg, CA",TheCoast@KOZT.com,USA
KMEC-LP,"Ukiah, CA",programming@kmecradio.org,USA
The Bay,"Trinidad, CA",thebay955@gmail.com,USA
KCRE-FM,"Crescent City, CA",kcre@charter.net,USA
The Oasis,"Indian Wells, CA",959theoasis@markerbroadcasting.com,USA
KGBA,"Heber, CA",espanol@kgba.org,USA
The Edge,"El Centro, CA",victor@953edge.com,USA
KRKC-FM,"King City, CA",bill@krkc.com,USA
Radio Bilingue,"Blythe, CA",epaala@radiobilingue.org,USA
The Tide,"Gualala, CA",TheTide@mcn.org,USA
93 JDX,"Susanville, CA",suzanne@theradionetwork.com,USA
Z 93-7 FM,"Ridgecrest, CA",chuck@kzfxfm.com,USA
Radio Lobo,"Soledad, CA",radiolobo@wolfhouseradio.net,USA
KFOK-LP,"Georgetown, CA",webmaster@kfok.org,USA
KNYO-LP,"Fort Bragg, CA",bobb@poetworld.net,USA
KGBA-FM,"Holtville, CA",kgbaradio@gmail.com,USA
St. John Paul II Catholic Radio,"El Centro, CA",info@jp2radio.com,USA
KSLG-FM,"Arcata, CA",studio@kslg.com,USA
The EDGE,"McKinleyville, CA",rendsley@natadco.com,USA
KFMU-FM,"Oak Creek, CO",john@alwaysmountaintime.com,USA
The Mountain,"Breckenridge, CO",ksmtstudio@nrcbroadcasting.com,USA
KWUF-FM,"Pagosa Springs, CO",admin@kwuf.com,USA
KPMX,"Sterling, CO",andy@kpmx.com,USA
Hippie Radio 97.5,"Poncha Springs, CO",mbottrell@kvrh.com,USA
KISZ-FM,"Cortez, CO",kiss979@yahoo.com,USA
KASF,"Alamosa, CO",kasf909fm@gmail.com,USA
KIUP,"Durango, CO",fcb@frontier.net,USA
KZBR,"Alamosa, CO",admin@kzbr971.com,USA
KCRT-FM,"Trinidad, CO",kcrt@comcast.net,USA
KMPZ,"Salida, CO",kcme@kcme.org,USA
KRSJ,"Durango, CO",fcb@frontier.net,USA
KVAY,"Lamar, CO",deb@kvay.com,USA
KGIW,"Alamosa, CO",info@kgiwkalq.com,USA
KSLV,"Monte Vista, CO",kslv@amigo.net,USA
Eagle Country,"Buena Vista, CO",ron@kvrh.com,USA
X Rock 105.3,"Durango, CO",INFO@xrock105.com,USA
Free Range Radio,"Salida, CO",info@khen.org,USA
The Blast,"Montrose, CO",news@coloradoradio.com,USA
KATR-FM,"Otis, CO",medialogic@kci.net,USA
Krystal 93,"Frisco, CO",john@krystal93.com,USA
Mountain Chill 95.5 FM,"Mountain Village, CO",dj@mountainchill.com,USA
KCRT,"Trinidad, CO",kcrt@comcast.net,USA
The Reel,"Hayden, CO",john@alwaysmountaintime.com,USA
KJOL-FM,"Montrose, CO",info@kjol.org,USA
KDUR,"Durango, CO",kdur@fortlewis.edu,USA
KIQX,"Durango, CO",fcb@frontier.net,USA
KLZR,"Westcliffe, CO",info@klzr.org,USA
KSLV-FM,"Del Norte, CO",kslv@amigo.net,USA
The Ranch,"Salida, CO",ron@kvrh.com,USA
KRDZ,"Wray, CO",krdz@medialogicradio.com,USA
KSUT,"Ignacio, CO",sheila@ksut.org,USA
WFDU,"Teaneck, NJ",barrys@fdu.edu,USA
The Q 99.7,"Feeding Hills, MA",contact@wlcq.com,USA
WSHU,"Westport, CT",tkuser@wshu.org,USA
WEHM,"East Hampton, NY",Lauren@wehm.com,USA
WEER,"Montauk, NY",info@hamptonscommunityradio.org,USA
Amor 93.1,"Paterson, NJ",info@931amor.com,USA
WLIX,"Coram, NY",info@wlix.fm,USA
Sound of Life Radio,"Pawling, NY",email@soundoflife.org,USA
WEEI,"Westerly, RI",smclaughlin@entercom.com,USA
106.1 BLI,"Patchogue, NY",wbli@wbli.com,USA
Soft Rock 106.5,"Pawcatuck, CT",programming@wbmw.com,USA
Bay Ridge Community Radio,"New York, NY",contact@bayridgeradio.com,USA
WTCC,"Springfield, MA",serephem@aol.com,USA
Star 99.9,"Bridgeport, CT",Keith.Dakin@ConnoisseurCT.com,USA
Family Radio Network East,"Mount Kisco, NY",familyradio@familyradio.org,USA
WDJZ,"Bridgeport, CT",wdjzradio@sbsglobal.net,USA
WSLX,"New Canaan, CT",wslx@stlukesct.org,USA
WFCR-HD2,"Amherst, MA",radio@wfcr.org,USA
WFSO,"Newburgh, NY",dce@redeemerbroadcasting.org,USA
88-X,"Brentwood, NY",wxba88x@yahoo.com,USA
Bomba FM,"Waterbury, CT",brianram@wbmw.com,USA
WVOF,"Fairfield, CT",wvoffm@gmail.com,USA
WAMC 2,"Mount Kisco, NY",mail@wamc.org,USA
Fine Arts Radio,"Old Saybrook, CT",info@wmnr.org,USA
The Arrow,"Lake Ronkonkoma, NY",wshr@sachem.edu,USA
Radio Visión Cristiana,"Mount Kisco, NY",dtirado@radiovision.net,USA
Radio Cumbre,"Bridgeport, CT",info@radiocumbre.am,USA
The Hall,"Springfield, MA",lucie.grondin@citcomm.com,USA
WFCS,"New Britain, CT",wfcstech@gmail.com,USA
AM 570 The Mission,"New York, NY",om@nycradio.com,USA
Hot 97,"New York, NY",hot97@hot97.com,USA
102.9 The Whale,"Hartford, CT",Keith.Dakin@ConnoisseurCT.com,USA
WEEI,"Easthampton, MA",doldread@entercom.com,USA
The Bridge,"Newark, NJ",info@bridgefm.org,USA
99.1 PLR,"New Haven, CT",Keith.Dakin@ConnoisseurCT.com,USA
KA1ZE FN31 144.205,"Tolland, CT",wa4zko@yahoo.com,USA
The Buzz,"Ashaway, RI",chris@wblq.net,USA
WQXR-FM,"Ossining, NY",listenerservices@wqxr.org,USA
WAMC-FM,"Mount Kisco, NY",mail@wamc.org,USA
WAVZ,"New Haven, CT",webmaster3@clearchannel.com,USA
Fresh 102.7,"New York, NY",webmaster@Fresh1027.com,USA
WYBC-FM,"New Haven, CT",info@wybc.com,USA
WVOX,"New Rochelle, NY",don@wvox.com,USA
WBLQ,"Westerly, RI",Chris@WBLQ.Net,USA
WXLM,"Groton, CT",patrick.trayes@citcomm.com,USA
WMRD,"Middletown, CT",office@wliswmrd.net,USA
WCSE-LP,"Ledyard Center, CT",info@wcse.org,USA
94.9 News Now,"Montauk, NY",news@949newsnow.com,USA
WRCR,"Ramapo, NY",info@wrcr.com,USA
Mid Hudson News Radio,"Newburgh, NY",news@midhudsonnews.com,USA
WPDH,"Poughkeepsie, NY",garycee@wpdh.com,USA
Progressive Talk 1400,"East Longmeadow, MA",dmus@whmp.com,USA
WRIV,"Riverhead, NY",1390wriv@gmail.com,USA
Radio 104.1,"Waterbury, CT",requests@radio1041.fm,USA
89.9 Qute,"Hartford, CT",WQTQFM@YAHOO.COM,USA
WZBG,"Litchfield, CT",musicrequests@wzbg.com,USA
WTHE,"Mineola, NY",Dgreggs10@aol.com,USA
Family Radio Network East,"New York, NY",familyradio@familyradio.org,USA
WNYU-FM,"New York, NY",general.manager@wnyu.org,USA
Bomba FM,"Bridgeport, CT",brianram@wbmw.com,USA
WNYK,"Nyack, NY",WNYK@nyack.edu,USA
WHPC,"Garden City, NY",whpc@ncc.edu,USA
The Peak,"Briarcliff Manor, NY",studio@1071thepeak.com,USA
Party 105.3,"Calverton, NY",johnc@moreyorg.com,USA
WCTY,"Norwich, CT",studio@wcty.com,USA
95.5 PLJ,"New York, NY",Carter.Wyckoff@citcomm.com,USA
91.1 K-LOVE Radio WTKL,"Westerly, RI",klove@klove.com,USA
WECS,"Willimantic, CT",wecs@easternct.edu,USA
WATR,"Waterbury, CT",talkback@WATR.com,USA
77 WABC,"New York, NY",carter.wyckoff@citcomm.com,USA
WMRD,"Old Saybrook, CT",office@wliswmrd.net,USA
Mega 97.9 FM,"New York, NY",AEscudero@sbsnewyork.com,USA
Lite 100.5 WRCH,"New Britain, CT",acamp@cbs.com,USA
WRHU,"Hempstead, NY",wrhu@wrhu.org,USA
WLIB,"New York, NY",info@wlib.com,USA
WWUH,"West Hartford, CT",wwuh@hartford.edu,USA
Connecticut Dept.of Public Utility Control,"New Britain, CT",dpuc.information@po.state.ct.us,USA
Fine Arts Radio,"Middlefield, CT",info@wmnr.org,USA
WNHH-LP,"New Haven, CT",wnhh@newhavenindependent.org,USA
Catolica Springfield,"Springfield, MA",catolicaspringfield@gmail.com,USA
WHUS,"Storrs, CT",info@whus.org,USA
La Puertorriqueñisima,"Bristol, CT",wprx1120@comcast.net,USA
MAX FM,"Bay Shore, NY",webmaster@connoisseurli.com,USA
WCSE-LP,"Montville Center, CT",info@wcse.org,USA
WCNI,"New London, CT",wcni@conncoll.edu,USA
AM 790,"Providence, RI",ron@790business.com,USA
WOR 710 AM,"New York, NY",webmaster@wor710.com,USA
Country Hits HD,"New Rochelle, NY",info@countryhitshd.com,USA
WSHU-FM,"Noyack, NY",tkuser@wshu.org,USA
Radio Redentor,"Holyoke, MA",info@redentorfm.com,USA
WFAR,"Waterbury, CT",wfar@radiofamilia.com,USA
WLIE,"Islip, NY",nyradiostation@aol.com,USA
WAPJ,"Torrington, CT",john@wapj.org,USA
WNPR,"Stamford, CT",bmessina@cpbn.org,USA
WLAD,"Danbury, CT",wladnewsroom@yahoo.com,USA
Relevant Radio,"Newark, NJ",info@relevantradio.com,USA
BBOX Radio,"Brooklyn, NY",info@bboxradio.com,USA
New England Public Radio,"Amherst, MA",radio@wfcr.org,USA
The Life FM,"Baptist Village, MA",info@thelifefm.com,USA
Q 105,"Groton, CT",patrick.trayes@citcomm.com,USA
METRO FM,"New York, NY",lametrofm@gmail.com,USA
WNHU,"West Haven, CT",wnhu887@gmail.com,USA
WHUD,"Peekskill, NY",spetrone@whud.com,USA
Restauracion 96.9 FM,"New Britain, CT",restauracion1620@gmail.com,USA
K-98.3,"Hempstead, NY",webmaster@connoisseurli.com,USA
WKND,"Windsor, CT",clm1480am@yahoo.com,USA
WUSB,"Stony Brook, NY",md@wusb.fm,USA
WNPR,"Meriden, CT",bmessina@cpbn.org,USA
WFAN Sports Radio,"New York, NY",fanmail@wfan.com,USA
WSPR,"Springfield, MA",power1270@gmail.com,USA
WQXR-FM,"New York, NY",listenerservices@wqxr.org,USA
WJMJ,"Hamden, CT",studio@wjmj.org,USA
WERB,"Berlin, CT",cwolfe@berlinschools.org,USA
WAMC-FM,"Newburgh, NY",mail@wamc.org,USA
WEBE 108,"Westport, CT",curt.hansen@cumulus.com,USA
Family Radio Network East,"Smithtown, NY",familyradio@familyradio.org,USA
106.7 Lite fm,"New York, NY",jeaneanebrennan@clearchannel.com,USA
Roxy FM,"New London, CT",jreed@hallradio.com,USA
B107.3,"Ridgefield, CT",feedback@b1073fm.com,USA
WSDK,"Bloomfield, CT",Info@WSDK1550.com,USA
radiosonfm,"New York, NY",jmeza@radiosonfm.com,USA
Q92,"Poughkeepsie, NY",KenyaGipson@clearchannel.com,USA
WFUV,"New York, NY",thefolks@wfuv.org,USA
WBAB,"Babylon, NY",wbab@wbab.com,USA
Renew FM,"Bradford, RI",info@renewfm.org,USA
WQAQ,"Hamden, CT",jjgutierrez@quinnipiac.edu,USA
NEPR News Network,"Westfield, MA",webmaster@nepr.net,USA
WJMJ,"Hartford, CT",studio@wjmj.org,USA
ESPN New York,"New York, NY",jeff.skopin@espnradio.disney.com,USA
WCCH,"Holyoke, MA",wcchmusic@hotmail.com,USA
96.5 TIC,"Hartford, CT",srsalhany@cbs.com,USA
95.9 The Fox,"Southport, CT",Keith.Dakin@ConnoisseurCT.com,USA
Radio Woodstock WDST,"Newburgh, NY",buff@wdst.com,USA
WQUN,"Hamden, CT",wqun@quinnipiac.edu,USA
WESU,"Middletown, CT",wesu@wesufm.org,USA
WFAR,"Danbury, CT",wfar@radiofamilia.com,USA
WGCH,"Greenwich, CT",rocco.forte@wgch.com,USA
The Wolf 102.3,"Stonington, CT",bonnie.gomes@citcomm.com,USA
107.3 K-LOVE Radio KLVS,"Hartford, CT",klove@klove.com,USA
Fine Arts Radio,"Monroe, CT",info@wmnr.org,USA
WBAI,"New York, NY",editor@wbai.org,USA
WACC-LP,"Enfield, CT",waccfm@yahoo.com,USA
WICC,"Bridgeport, CT",curt.hansen@cumulus.com,USA
Westcott Radio,"New York, NY",info@westcottradio.org,USA
KISS 95.7,"Hartford, CT",KellyLeClair@clearchannel.com,USA
WLNG,"Sag Harbor, NY",info@wlng.com,USA
WADO,"New York, NY",wado1280@univision.com,USA
WDUP-LP,"New London, CT",929wdup@gmail.com,USA
Ultra Radio,"New Haven, CT",stationmanager@ultraradio.com,USA
WSHU-FM,"Fairfield, CT",tkuser@wshu.org,USA
WFAR,"Naugatuck, CT",wfar@radiofamilia.com,USA
WLIX,"Ridge, NY",info@wlix.fm,USA
98-Q,"Danbury, CT",requests@98q.com,USA
WCBS-FM,"New York, NY",webmaster@wcbsfm.com,USA
Wolverine Radio,"Norwich, CT",info@mygriswold.com,USA
WA2XMN,"Alpine, NJ",wa2xmn@ar88.net,USA
Power 88.1 FM,"Valhalla, NY",thedjuneeq@gmail.com,USA
WIHS,"Middletown, CT",wihs@snet.net,USA
WBLS,"New York, NY",info@wbls.com,USA
The Shark,"Smithtown, NY",webmaster@connoisseurli.com,USA
1080 WTIC NEWSTALK,"Farmington, CT",jllee@cbs.com,USA
WNYC-FM,"New York, NY",listenerservices@wnyc.org,USA
WJZZ,"Newburgh, NY",bud@HVPR.org,USA
WNLC,"Norwich, CT",feedback@wnlc.com,USA
WNYC-AM,"New York, NY",listenerservices@wnyc.org,USA
WHLI,"Hempstead, NY",webmaster@connoisseurli.com,USA
WRTC-FM,"Hartford, CT",stationmanager@wrtcfm.com,USA
X96.3,"New York, NY",x963fm@univision.com,USA
La Nueva,"Paterson, NJ",info@lanuevafm.net,USA
Mega 910,"New Britain, CT",pgois@goisbroadcasting.com,USA
NewsRadio 560 WHYN,"Springfield, MA",webmaster@whyn.com,USA
Rock 102,"Springfield, MA",LDiana@Springfieldrocks.com,USA
Family Radio Network East,"Vernon, CT",familyradio@familyradio.org,USA
810 & 103.1 WGY,"Schenectady, NY",wgy@clearchannel.com,USA
96.7 K-LOVE Radio WKLV,"Port Chester, NY",klove@klove.com,USA
94.7 WMAS,"Enfield, CT",lucie.grondin@citcomm.com,USA
Amityville Community Radio,"Amityville, NY",acradio1@verizon.net,USA
Latina 1230,"Manchester, CT",pgois@goisbroadcasting.com,USA
News Talk 630 WPRO-AM,"Providence, RI",patrick.austin@citcomm.com,USA
WCWP,"Brookville, NY",wcwp@cwpost.liu.edu,USA
WFAS,"White Plains, NY",bob.barnum@cumulus.com,USA
WJLU,"New Smyrna Beach, FL",wjlu@wjlu.org,USA
Family Radio 1490,"Winter Haven, FL",info@rejoice1490.com,USA
Real Radio 94.3 WZZR,"Riviera Beach, FL",AndrewBednar@clearchannel.com,USA
C-SPAN Radio,"Washington, DC",radio@c-span.org,USA
97.1 WASH-FM,"Washington, DC",lookatz@clearchannel.com,USA
AM 1190 News,"Pine Castle, FL",web@radiogenesis.com,USA
Relevant Radio,"Mount Holly, NJ",info@relevantradio.com,USA
Sunny 106,"Fort Myers, FL",randy.sherwyn@bbgi.com,USA
iradiophilly Laugh Tracks,"Philadelphia, PA",iradiophilly@gmail.com,USA
Gold 99,"Silver Springs Shores, FL",info@gold99fm.com,USA
WNAV,"Annapolis, MD",billlusby@wnav.com,USA
Fox Sports 1290,"Wilmington, DE",valerieallston@clearchannel.com,USA
95.1 WAPE,"Jacksonville, FL",todd.shannon@coxinc.com,USA
X102.9,"Jacksonville, FL",aaron.schachter@coxinc.com,USA
93X,"Sanibel, FL",jim@93x.fm,USA
The ARROW,"Naples, FL",programmanager@classicrock945.com,USA
WROS,"Jacksonville, FL",wros@wros.net,USA
WNZF,"Beverly Beach, FL",marc@wnzf.com,USA
WAOA-FM,"Melbourne, FL",lisa@wa1a.com,USA
La Capital,"Alexandria, VA",wtntamfm@gmail.com,USA
Kickin' Country 1170,"Bushnell, FL",wkfl1170am@gmail.com,USA
Sunrise City Radio,"Fort Pierce, FL",info@sunrisecityradio.com,USA
WMNF Extra,"Tampa, FL",web@wmnf.org,USA
WWNN,"Pompano Beach, FL",duff@bbgiboca.com,USA
WUFT-FM,"Gainesville, FL",radio@wuft.org,USA
Cat Country 98.7,"Pensacola, FL",comments@CatCountry987.com,USA
Radio Nueva Vida,"Jacksonville, FL",info@nuevavida.com,USA
WDLN-LP,"Dunnellon, FL",wow104@bellsouth.net,USA
WZEP,"De Funiak Springs, FL",wzep@wzep1460.com,USA
iradiophilly Sapphire,"Philadelphia, PA",iradiophilly@gmail.com,USA
WGUF,"Marco, FL",rsavage@rendabroadcasting.com,USA
Nash FM 102.7,"Milton, FL",request@wxbm.com,USA
ESPN 580 Orlando,"Orlando, FL",levi.may@coxinc.com,USA
Star 94.5,"Daytona Beach, FL",kevin.gardner@coxradio.com,USA
News Radio,"Vero Beach, FL",jimd@wgylfm.com,USA
WTJT,"Baker, FL",wtjtradio@yahoo.com,USA
Smooth Jazz 105.9 HD2,"Woodbridge, VA",Jay.Gleason@citcomm.com,USA
The Strip,"Baltimore, MD",gregcarpenter@1019litefm.com,USA
Gospel 90.3,"Haines City, FL",requests@gospel903.com,USA
Lite Rock 99.3,"Cocoa, FL",michaellowe@clearchannel.com,USA
WWBC,"Cocoa, FL",paul@gospelstudy.net,USA
Godsquad,"Titusville, FL",wpio@gate.net,USA
The Bone,"Sarasota, FL",102.5comments@coxtampa.com,USA
Radio Newark,"Newark, DE",steve@radionewark.org,USA
K92.3 Orlando's Country,"Orlando, FL",len.shackelford@coxradio.com,USA
iradiophilly The Plateau,"Philadelphia, PA",iradiophilly@gmail.com,USA
K-Country,"Ocala, FL",ncfmrbob@earthlink.net,USA
Family Radio Network East,"Stuart, FL",familyradio@familyradio.org,USA
Hank FM,"Trenton, FL",kevin.mangan@marcradio.com,USA
102.9 MGK,"Philadelphia, PA",bweston@WMGK.com,USA
Twang 106.7,"Fort Myers, FL",SuperDaveLogan@Twangme.net,USA
WBAL,"Baltimore, MD",smasteller@hearst.com,USA
iRadioPhilly Live Broadcast,"Philadelphia, PA",iradiophilly@gmail.com,USA
WXCY,"Havre de Grace, MD",loyallistener@wxcyfm.com,USA
640 Sports,"Royal Palm Beach, FL",listener@640sports.com,USA
iradiophilly Magic,"Philadelphia, PA",iradiophilly@gmail.com,USA
Q92,"Ocala, FL",challmark@jvcbroadcasting.com,USA
WOKV,"Atlantic Beach, FL",news@wokv.com,USA
Radio Vida 97.7 FM,"Dale City, VA",Radiovidava@gmail.com,USA
Talk Radio 1210 WPHT,"Philadelphia, PA",1210promotions@cbsradio.com,USA
WJCT,"Jacksonville, FL",techsupport@wjct.org,USA
92Q Jams,"Baltimore, MD",neke92@aol.comz,USA
WJGM,"Baldwin, FL",wjgmfm@gmail.com,USA
810 CBS Sports Radio Orlando,"Orlovista, FL",810cbssportsorlando@gmail.com,USA
96 Rock,"Orlando, FL",greg.stevens@coxradio.com,USA
105.9 SUNNY FM,"De Land, FL",rick.stacy@cbsradio.com,USA
WCNO,"Palm City, FL",wcno@wcno.com,USA
Gator Country,"Jacksonville, FL",rhill@rendabroadcasting.com,USA
ESPN 980,"Washington, DC",management@espn980.com,USA
Family Radio Network East,"Jacksonville, FL",familyradio@familyradio.org,USA
The Lighthouse 89.3,"Folkston, GA",wecc@thelighthousefm.org,USA
107.3 K-LOVE Radio KLVS,"San Carlos Park, FL",klove@klove.com,USA
WRTI Classical,"Philadelphia, PA",contact@wrti.org,USA
iradiophilly Skin Radio,"Philadelphia, PA",iradiophilly@gmail.com,USA
Rumba fm,"Baltimore, MD",WTTZLP@GMAIL.COM,USA
WDCT,"Fairfax, VA",1310@wdct.net,USA
Solid Gold 106,"Fort Myers, FL",randster@solidgold106.com,USA
FM 102.5 / AM 540 WFLA,"Pine Hills, FL",tombenson@clearchannel.com,USA
Smooth FM,"Gainesville, FL",challmark@jvcbroadcasting.com,USA
Poder 1030,"Indian Head, MD",radio@wwgb.com,USA
WELE,"Ormond Beach, FL",larrysteelemedia@gmail.com,USA
WRMB,"Okeechobee, FL",wrmb@moody.edu,USA
WEAA,"Baltimore, MD",michele.williams@morgan.edu,USA
Moody Radio Florida,"Lakeland, FL",moodyradiooffice@moody.edu,USA
WUWF-HD2,"Pensacola, FL",wuwf@wuwf.org,USA
WMMR,"Philadelphia, PA",webmaster@wmmr.com,USA
