country,station,location,email-href
Egypt,"Alhayat TV

      Urdu","Cairo, Egypt",mailto:info@hayatv.tv
South Africa,"Groot FM

      Gaan Groot","Pretoria, South Africa",mailto:grootfm@xpbroadcasting.com
South Africa,"Radio 2000

      English","Johannesburg, South Africa",mailto:info@radio2000.co.za
Cote D'ivoire,"RFI 1 Afrique

      Radio France Internationale, actualite Afrique et Monde en frran",,http://tunein.com/Syndication/Edit/?stationId=16125
Zimbabwe,"ZBC Power FM

      English",,http://tunein.com/Syndication/Edit/?stationId=247889
Madagascar,"RNM

      French","Antananarivo, Madagascar",http://tunein.com/Syndication/Edit/?stationId=247002
Tanzania,"E-FM Radio

      MUSIC TALKS","Dar es Salaam, Tanzania",mailto:info@efm.co.tz
Egypt,"البرنامج الموسيقي

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=214238
Tanzania,"East Africa Radio

      Together Tunawakilisha",,mailto:info@eastafricaradio.com
Angola,"RNA R Benguela

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251452
Zambia,"Radio Christian Voice Zambia

      The Voice Africa",,mailto:voicefm@zamnet.zm
Burundi,"Studio Ijambo

      Le dialogue c'est l'avenir !","Bujumbura, Burundi",mailto:mdiego@sfcg.org.bi
Tunisia,"Radio Tunis Culture

      Radio Tunis Radio cultural...","Remada, Tunisia",mailto:radio.culturelle@radiotunisienne.tn
Kenya,"Pamoja FM

      ... the voice of Kibera","Kibera, Kenya",mailto:pamojafm.marketing@yahoo.com
Central African Republic,"Radio Ndeke Luka

      Un Projet De La",,mailto:princegboute@hotmail.fr
Mozambique,"Rádio 95.8 FM Maputo

      A Rádio da Família",,mailto:internet@iurd.co.mz
Gambia,"AfriRadio Gambia

      AfriRadio is the #1 Radio...",,http://tunein.com/Syndication/Edit/?stationId=181972
Senegal,"RTS Kolda FM

      Multilingual","Kolda, Senegal",http://tunein.com/Syndication/Edit/?stationId=238792
Ethiopia,"Radio Ethiopia - National Service

      Multilingual","Harar, Ethiopia",http://tunein.com/Syndication/Edit/?stationId=16098
Gambia,"Capital FM

      Sound of a New Generation","Banjul, Gambia",mailto:saulsounds@gmail.com
Mozambique,"SFM - SOICO FM

      O som que te toca","Maputo, Mozambique",mailto:sfm@soico.co.mz
Mauritius,"MBC Radio Rodrigues

      French","Citronelle, Rodrigues Island, Mauritius",mailto:customercare@mbc.intnet.mu
Mali,"RSK-Radio Sahel Kayes

      RSK-Radio","Kayes, Kayes Province, Mali",http://tunein.com/Syndication/Edit/?stationId=16078
Senegal,"Lamp Fall FM

      Baidy Thioune Chef De Station","Dakar, Senegal",mailto:fallamptv@gmail.com
Burkina Faso,"Savane FM

      French","Ouagadougou, Burkina Faso",mailto:contact@savanefm.net
Libya,"LJB Jamahiriya Radio

      Arabic","Tripolis, Libyan Arab Jamahiriya",http://tunein.com/Syndication/Edit/?stationId=16146
Ghana,"HighLife Radio

      Quality Programming for Quality People","Accra, Ghana",mailto:info@highliferadio.com
Cote D'ivoire,"Radio Jam

      Toujours Une Longueur d'avance!",,mailto:jamfm@aviso.ci
Kenya,"Hope FM

      Listen and Live",,mailto:info@hopefm.org
Ghana,"KASAPA FM

      Agye Bebiaaaa","Accra, Ghana",mailto:info@kasapafmonline.com
Libya,"LJB Arabic

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=16147
South Africa,"Metro FM

      Since 1986, METRO FM has...",,http://tunein.com/Syndication/Edit/?stationId=6363
Algeria,"Radio Laghouat

      Arabic",,mailto:info@radio-laghouat.dz
Tunisia,"R Tunis Nationale

      Arabic",,mailto:info@radiotunis.com
Senegal,"Love FM

      French",,mailto:dunyaa@sentoo.sn
Comoros,"Radio Anjouan

      Multilingual","Moutsamoudou, Comoros",http://tunein.com/Syndication/Edit/?stationId=65691
Burkina Faso,"RFI 1 Afrique

      French","Ouagadougou, Ouagadougou, Burkina Faso",http://tunein.com/Syndication/Edit/?stationId=16114
Senegal,"Love FM

      French","Dakar, Senegal",mailto:dunyaa@sentoo.sn
South Africa,"GoodHope FM

      It's All Good",,mailto:amanda@goodhopefm.co.za
Mali,"SEKO Radio

      French",,http://tunein.com/Syndication/Edit/?stationId=189030
Uganda,"Connect Radio

      Number One for Ugandan Music.",,mailto:studio@connectuganda.com
Cote D'ivoire,"Radio Espoir

      Cote D'Invoire","Abidjan, Abidjan, Côte d'Ivoire",http://tunein.com/Syndication/Edit/?stationId=16126
Cape Verde,"Radio Nova

      English",,http://tunein.com/Syndication/Edit/?stationId=9315
Zambia,"Radio Liseli

      English","Mongu, Zambia",http://tunein.com/Syndication/Edit/?stationId=110041
Senegal,"RTS 4 Casamance

      Multilingual","Ziguinchor, Senegal",http://tunein.com/Syndication/Edit/?stationId=238789
Algeria,"Radio Algerienne Chaine 2

      ستعرف رياضة كرة السلة...",,http://tunein.com/Syndication/Edit/?stationId=2418
Mayotte,"Mayotte 1ere

      Reseau Outre-Mer 1ère","Dzaoudzi, Mayotte",http://tunein.com/Syndication/Edit/?stationId=6283
Namibia,"Base FM

      Your Home Station",,mailto:manager@basefm.com.na
Mali,"ORTM Chaine 2

      French",,mailto:ortm@ortm.ml
Mayotte,"Mayotte Web Radio

      Première radio 100% Mahoraise !",,http://tunein.com/Syndication/Edit/?stationId=121706
Egypt,"Radio Medan El-Tahrir

      Arabic",,mailto:info@radioeltahrir.com
Angola,"RNA R Viana

      Portuguese","Viana, Angola",http://tunein.com/Syndication/Edit/?stationId=251463
Nigeria,"Nigeriainfo FM 92.3 PH

      Your #1 Talk, News & Sport Station",,mailto:rcahilig@coollink.us
Gambia,"Gambia Radio GRTS

      English","Bonto, Gambia",mailto:info@accessgambia.com
Rwanda,"Radio Maria (Rwanda)

      English","Kigali, Rwanda",mailto:radiomariarwanda@gmail.com
Angola,"RNA R Kwanza Sul

      Portuguese","Sumbe, Angola",http://tunein.com/Syndication/Edit/?stationId=238799
Nigeria,"Wazobia FM 95.1 Lagos

      Ogbonge Station",,mailto:rcahilig@coollink.us
Seychelles,"SBC Radyo Sesel  (AM Service)

      English","Victoria, Seychelles",http://tunein.com/Syndication/Edit/?stationId=123081
Reunion,"Radio Plus FM

      Elle est bonne cette radio!","Saint-Denis, Reunion",http://tunein.com/Syndication/Edit/?stationId=47600
Senegal,"RTS Matam FM

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=238797
Angola,"RNA R Malange

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251462
Malawi,"Radio Maria (Malawi)

      A Christian Voice In Your Home",,mailto: radiomaria@africa-online.net
Namibia,"NBC Lozi

      Multilingual",,mailto:fzinner@nbc.na
Zimbabwe,"National FM ZBC

      Multilingual","Harare, Harare, Zimbabwe",http://tunein.com/Syndication/Edit/?stationId=6453
DR Congo,"B-ONE RADIO

      French",,http://tunein.com/Syndication/Edit/?stationId=155833
Cote D'ivoire,"Bassam FM

      Premier sur les Hits!",,mailto:charles@bassamfm.com
Angola,"RNA R Cunene

      Portuguese","Ondjiva, Angola",http://tunein.com/Syndication/Edit/?stationId=251451
Sierra Leone,"Believers Broadcasting Network SL

      We Are Committed In Changing Lives",,mailto:admin@bbn-sl.org
Tanzania,"TBC Taifa

      Swahili",,http://tunein.com/Syndication/Edit/?stationId=201112
Zambia,"Sky FM

      English",,http://tunein.com/Syndication/Edit/?stationId=110033
Libya,"Qanat AlEman 99.9

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=163033
Uganda,"Capital FM

      English",,mailto:technical@capitalfm-ug.com
Rwanda,"Radio10

      Simply Rwandaful!",,mailto:contact@radio10.rw
Cameroon,"Amplitude FM

      Toute l'actualite sur le...",,mailto:contact@cameroon-info.net
Mali,"Radio Rurale

      Radio Rural Kayes",,http://tunein.com/Syndication/Edit/?stationId=50171
Central African Republic,"Voice Radio

      Ma Voix, Ma Radio!!!","Bangui, Central African Republic",mailto:Contact@voiceradio.co
Djibouti,"BBC World Service Djibouti

      BBC World Service is the...",,mailto:worldservice@bbc.co.uk
Angola,"RNA Canal A

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=6226
Ghana,"Nhyira FM

      Emu ye din",,http://tunein.com/Syndication/Edit/?stationId=113346
Cote D'ivoire,"Nostalgie FM

      Nostalgie La Legende",,http://tunein.com/Syndication/Edit/?stationId=90592
Togo,"Omega FM

      La Fréquence De Vie","Lomé, Togo",mailto:omegafm@omegafm.com
Morocco,"Cap Radio

      French","Nador, Morocco",http://tunein.com/Syndication/Edit/?stationId=165271
Zambia,"Chikuni Radio

      English","Monze, Zambia",mailto:chikuniradio@gmail.com
Mayotte,"Radio La Voix Du Nord

      French",,mailto:abdou.rvn@hotmail.fr
Mauritius,"MBC Radio Mauritius 2

      English","Malherbes, Mauritius",mailto:customercare@mbc.intnet.mu
Tanzania,"EBONY FM

      feel the difference",,mailto:info@ebonyfm.com
Burkina Faso,"Radio Vive Le Paysan

      Multilingual","Sapone-Marche, other areas, Burkina Faso",http://tunein.com/Syndication/Edit/?stationId=16119
Zimbabwe,"SW Radio Africa

      The Independent Voice Of Zimbabwe.","Avoca, Zimbabwe",mailto:news@swradioafrica.com
Comoros,"RFI 1 Afrique

      French","Moroni, Comoros",http://tunein.com/Syndication/Edit/?stationId=6242
Madagascar,"Ma-FM

      Multilingual",,mailto:sidonie@matv.mg
Cameroon,"Radio Balafon

      La radio Qui Vous Ecoute !",,mailto:contact@radiobalafon.com
Tunisia,"Mines FM

      La radio qui vous écoute","Gafsa, Tunisia",mailto:info@minesfm.com
Cote D'ivoire,"RFI 1 Afrique

      French","Korhogo, Côte d'Ivoire",http://tunein.com/Syndication/Edit/?stationId=16128
Madagascar,"Radio Madagascar > RNA Antalaha

      Radio Ny Antsika
En...","Antalaha, Madagascar",mailto:contact@rna-madagascar.com
Angola,"RNA Canal A

      Portuguese","Luanda, Angola",http://tunein.com/Syndication/Edit/?stationId=6226
Senegal,"Radio Futurs Medias

      Actualités au Sénégal et dans le monde","Dakar, Senegal",mailto:info@futursmedias.net
Rwanda,"Radio Maria (Rwanda)

      English",,mailto:radiomariarwanda@gmail.com
Namibia,"NBC Oshiwambo

      English","Waterberg, Namibia",http://tunein.com/Syndication/Edit/?stationId=119491
Kenya,"Kass FM

      English","Nairobi, Kenya",mailto:info@kassfm.co.ke
Mali,"Radio Madjoura Touba

      French",,mailto: madjourafm@gmail.com
Senegal,"Zik FM

      Get ready for the waves","Dakar, Senegal",mailto:info@zikfm.net
Angola,"Radio 5

      A Victória do Desporto",,mailto:rna@rna.ao
Ghana,"Adom FM

      The Best Radio Station In Ghana","Tema, Ghana",mailto:teamwork@myjoyonline.com
Egypt,"إذاعة الشرق الأوسط

      Arabic","Cairo, Egypt",http://tunein.com/Syndication/Edit/?stationId=213502
Egypt,"البرنامج الموسيقي

      Arabic","Cairo, Egypt",http://tunein.com/Syndication/Edit/?stationId=214238
Sierra Leone,"SLBS FM

      English",,http://tunein.com/Syndication/Edit/?stationId=6221
Angola,"RNA R Benguela

      Portuguese","Benguela, Angola",http://tunein.com/Syndication/Edit/?stationId=251452
Sierra Leone,"Radio Democracy

      The True Voice Of The People","Freetown, Sierra Leone",mailto: info@radiodemocracy.sl
Tunisia,"Radio Sfax

      Arabic","Sfax, Tunisia",mailto:info@radiotunis.com
Tanzania,"WAPO RADIO FM 98.1

      English",,http://tunein.com/Syndication/Edit/?stationId=151786
Kenya,"Kiss 100

      Kenya's Number 1 Hit Music Station","Nairobi, Nairobi, Kenya",mailto:info@kissfm.co.ke
Sierra Leone,"BBC World Service Freetown

      BBC World Service is the...","Freetown, Sierra Leone",mailto:bbcwsafrica@bbc.co.uk
Nigeria,"The Beat 97.9 fm

      The Heart Beat of Ibadan","Ibadan, Nigeria",mailto:info@thebeat97.com
Benin,"Radio Tokpa

      Votre Partenaire","Cotonou, Benin",http://tunein.com/Syndication/Edit/?stationId=141168
Tanzania,"Radio Safina

      Swahili","Arusha, Tanzania",mailto:dchristlife@yahoo.com
Nigeria,"The Beat

      The Heart Beat of Lagos",,mailto:enquiries@thebeat99.com
Nigeria,"Inspiration 92.3 FM

      Your #1 Family Radio Station",,http://tunein.com/Syndication/Edit/?stationId=165872
Benin,"Capp FM

      La Radio Du Succes","Cotonou, Benin",mailto:info@cappfm.com
Lesotho,"Khotso FM

      English","Maseru, Lesotho",http://tunein.com/Syndication/Edit/?stationId=142262
Mauritius,"MBC Radio Mauritius 2

      English",,mailto:customercare@mbc.intnet.mu
Mayotte,"Radio Mayotte Web

      1ere sur la musique mahoraise",,mailto:radio@mayottewebradio.fr
Tanzania,"Radio Maria (Tanzania)

      A Christian Voice In Your Home","Arusha, Arusha Region, Tanzania",mailto:info.tan@radiomaria.org
Mauritius,"Radio Plus FM

      Ecoute ou pou tende","Port Louis, Mauritius",mailto:venen@radioplus.mu
Morocco,"Al Watania

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=129393
Lesotho,"Ultimate FM

      English","Maseru, Lesotho",http://tunein.com/Syndication/Edit/?stationId=142269
DR Congo,"Congo Planete TV

      French","Kinshasa, DR Congo",mailto:info@congoplanet.com
Benin,"Fraternite FM

      French",,http://tunein.com/Syndication/Edit/?stationId=47665
Reunion,"Urban Hit

      Votre radio Hip-hop et R'n'B","Saint-Denis, Reunion",mailto:contact@urbanhit.fm
Sudan,"SRTC Salam

      Arabic","Khartoum, Sudan",http://tunein.com/Syndication/Edit/?stationId=131748
Angola,"RNA R Lunda Norte

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251456
Cameroon,"CRTV

      Cameroon Radio and Television",,mailto:fm94@crtv.cm
Reunion,"RSL Radio

      Tous les hits soleil","La Riviere, Reunion",mailto:contact@rslradio.fm
Ghana,"Peace FM

      The Station With A Vision","Accra, Ghana",mailto:daara90@gmail.com
Zambia,"Yar FM

      English","Kitwe, Zambia",http://tunein.com/Syndication/Edit/?stationId=110045
Nigeria,"Freedom Radio

      Muryar Jama'a",,mailto:info@freedomradionig.com
Morocco,"Cap Radio

      French",,http://tunein.com/Syndication/Edit/?stationId=165271
Nigeria,"Space

      Setting new standards in Broadcasting","Ibadan, Nigeria",http://tunein.com/Syndication/Edit/?stationId=222552
Sudan,"SRTC General

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=131749
Nigeria,"Wazobia FM 99.5 Abuja

      WAZOBIA FM is the 1st...",,mailto:rcahilig@coollink.us
Angola,"RNA R Huambo

      Portuguese","Huambo, Angola",http://tunein.com/Syndication/Edit/?stationId=251454
Malawi,"MBC Radio 1

      Inspiring The Nation","Blantyre, Malawi",http://tunein.com/Syndication/Edit/?stationId=206843
Morocco,"الإذاعة الأمازيغية

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=129392
Zambia,"Parliament Radio

      English","Lusaka, Zambia",http://tunein.com/Syndication/Edit/?stationId=110048
Togo,"Radio SPORT FM

      La radio qui mouille le maillot","Lomé, Togo",mailto:radiosportfm@yahoo.fr
Gambia,"Gambia Radio GRTS

      English",,mailto:info@accessgambia.com
Mali,"Radio Benkan

      French","Bamako, Mali",http://tunein.com/Syndication/Edit/?stationId=189026
Sierra Leone,"AYV Radio

      English","Freetown, Sierra Leone",mailto:info@ayvradio.com
Libya,"Libyana FM

      Arabic",,http://tunein.com/Syndication/Edit/?stationId=174220
Namibia,"NBC Tirelo ya Setswana

      Multilingual","Klein Windhoek, Namibia",http://tunein.com/Syndication/Edit/?stationId=228897
Mali,"Jekafo Radio

      French",,http://tunein.com/Syndication/Edit/?stationId=116715
Cameroon,"Amplitude FM

      Toute l'actualite sur le...","Yaounde, Cameroon",mailto:contact@cameroon-info.net
Reunion,"Urban Hit

      Votre radio Hip-hop et R'n'B",,mailto:contact@urbanhit.fm
Mozambique,"Rádio Pieia

      Portuguese",,mailto:info@radio.pieia.org
Kenya,"Classic 105

      Good Times and Great Hits","Nairobi, Kenya",mailto:info@classic105.com
Rwanda,"Radio Rwanda

      Office Rwandais d' Information",,mailto:skarere@rba.co.rw
Senegal,"BFMinfo

      French",,http://tunein.com/Syndication/Edit/?stationId=168647
Seychelles,"PureFM (Seychelles)

      English",,mailto:90.7@purefm.sc
Tunisia,"Radio Monastir

      Arabic","Monastir, Tunisia",http://tunein.com/Syndication/Edit/?stationId=129106
DR Congo,"Réveil FM

      La radio qui vous écoute",,http://tunein.com/Syndication/Edit/?stationId=8385
Morocco,"Luxe Radio

      Accédez à l'état d'esprit du luxe","Agadir, Morocco",mailto:info@luxeradio.ma
Rwanda,"KT Radio

      Feel Good Together!","Kigali, Rwanda",mailto:info@ktradio.rw
Chad,"DJA

      French","N'Djamena, Chad",http://tunein.com/Syndication/Edit/?stationId=7491
Ghana,"Hot FM

      English",,mailto:pagegroupmedia@gmail.com
South Africa,"5FM SABC

      The Power of 5FM",,http://tunein.com/Syndication/Edit/?stationId=6362
Ethiopia,"Zami 90.7 FM

      The Voice The Difference","Addis Ababa, Ethiopia",mailto:contact@zamiradio.com
Rwanda,"KT Radio

      Feel Good Together!",,mailto:info@ktradio.rw
Tunisia,"Radio Tunis International

      la plus belle des radios",,mailto:rtci@radiotunisienne.tn
Kenya,"Radio Jambo

      Ongea Usikike","Nairobi, Kenya",mailto:info@radiojambo.co.ke
Liberia,"ELBC

      English",,http://tunein.com/Syndication/Edit/?stationId=211054
Nigeria,"Freedom Radio

      Muryar Jama'a","Kano, Nigeria",mailto:info@freedomradionig.com
Angola,"RNA R Cunene

      Portuguese",,http://tunein.com/Syndication/Edit/?stationId=251451
Mozambique,"LM Radio

      Lifetime Music Radio",,mailto:info@lmradio.net
Libya,"Tribute FM

      Broadcasting live from Benghazi","Banghazi, Libyan Arab Jamahiriya",mailto:info@tributefm.com
Uganda,"CBS Radio Buganda

      Uganda's Best Radio Station",,http://tunein.com/Syndication/Edit/?stationId=7477
Ghana,"Asempa 94.7FM

      All Talk All Day!","Accra, Ghana",http://tunein.com/Syndication/Edit/?stationId=89189
Benin,"Radio Maranatha

      French",,mailto:maranatha.fm@serv.eit.bj
Nigeria,"Royal FM 95.1 Ilorin

      we set the pace...",,mailto:radio951@royalfm.net
Mali,"Radio la Bonne Nouvelle

      French",,http://tunein.com/Syndication/Edit/?stationId=254008
Tanzania,"Upendo FM

      Amani kwa wote",,mailto:info@elctecd.org
Uganda,"Beat FM

      EKINTABULI KYO' MUZIKI","Kampala, Uganda",mailto:technical@capitalfm-ug.com
South Africa,"Motsweding FM

      Multilingual",,mailto:mmekoasc@sabc.co.za
Cameroon,"Nostalgie Cameroun

      ça surprend au début...et après aussi !",,mailto:info@nostalgie.cm
Nigeria,"Brila FM

      Africa's Premier Sports Station....with us you score!!!",,mailto:info@brila.net
Zambia,"Radio Yangeni

      English","Mansa, Zambia",http://tunein.com/Syndication/Edit/?stationId=110044
Mayotte,"Mayotte 1ere

      Reseau Outre-Mer 1ère",,http://tunein.com/Syndication/Edit/?stationId=6283
Zambia,"Rock FM

      Live to rock another day","Lusaka, Zambia",http://tunein.com/Syndication/Edit/?stationId=214604
Algeria,"Radio Setif

      French",,mailto:contact.radio.setif@gmail.com
Tanzania,"Upendo FM

      Amani kwa wote","Dar es Salaam, Tanzania",mailto:info@elctecd.org
Tunisia,"R Tunis Nationale

      Arabic","Tunis, Tunisia",mailto:info@radiotunis.com
Burundi,"RFI Afrique

      Radio France Internationale","Bujumbura, Burundi",http://tunein.com/Syndication/Edit/?stationId=44233
Uganda,"100.2 Galaxy FM

      Real Music, Real Sound!",,http://tunein.com/Syndication/Edit/?stationId=191194
Tunisia,"Shems FM

      English",,http://tunein.com/Syndication/Edit/?stationId=129025
Central African Republic,"Voice Radio

      Ma Voix, Ma Radio!!!",,mailto:Contact@voiceradio.co
Seychelles,"SBC Radyo Sesel  (AM Service)

      English",,http://tunein.com/Syndication/Edit/?stationId=123081
Namibia,"NBC Herero

      English","Klein Windhoek, Namibia",http://tunein.com/Syndication/Edit/?stationId=6305
Sudan,"SRTC Quran

      Arabic","Omdurman, Sudan",http://tunein.com/Syndication/Edit/?stationId=131750
Comoros,"Radio Comores

      French",,mailto:naynour@hotmail.com
Swaziland,"TWR Voice of the Church

      English",,mailto:info@twrafrica.org
Kenya,"Pamoja FM

      ... the voice of Kibera",,mailto:pamojafm.marketing@yahoo.com
Nigeria,"Rahma Radio 97.3

      Farin Cikin Al'umma","Kano, Nigeria",mailto:rahmaradio@yahoo.com
Angola,"Radio Luanda RNA

      Portuguese","Luanda, Angola",mailto:rluanda@rna.ao
Madagascar,"Radio Madagasikara hoan'i Kristy

      French",,http://tunein.com/Syndication/Edit/?stationId=200286
Botswana,"RB2-Radio Botswana 2

      The Department Of Information And Broadcasting",,mailto:asesinyi@gov.bw
Mauritius,"Top FM

      Fresh Air You Can Hear !","Port Louis, Mauritius",mailto:topfm@intnet.mu
South Africa,"Lesedi FM

      Multilingual","Johannesburg, South Africa",mailto:mothibipm@sabc.co.za
Egypt,"الشباب و الرياضة

      Arabic","Cairo, Egypt",mailto:radioinfo@ertu.org
Madagascar,"Radio Fahazavana

      Ho Fampandrosoana ny olona rehatra sy ny olona manontolo","Faravohitra, Antananarivo, Madagascar",mailto:fahazavana@dts.mg
Uganda,"90.8 Metro fm Uganda

      Essanyu ry0",,mailto:metro90.8@gmail.com
Madagascar,"RNM

      French",,http://tunein.com/Syndication/Edit/?stationId=247002
St. Helena,"Saint FM

      The Heartbeat of St. Helena","Jamestown, St. Helena",mailto:fm@cwimail.sh
Namibia,"Live FM

      English","Rehobot, Namibia",http://tunein.com/Syndication/Edit/?stationId=119487
Botswana,"R Botswana 1

      Multilingual","Gaborone, Botswana",http://tunein.com/Syndication/Edit/?stationId=218478
Comoros,"RCM 13

      French",,mailto:info@rcm13.fr
Gambia,"West Coast Radio 92.1

      West Coast Radio",,http://tunein.com/Syndication/Edit/?stationId=186335
Gambia,"AfriRadio Gambia

      AfriRadio is the #1 Radio...","Banjul, Gambia",http://tunein.com/Syndication/Edit/?stationId=181972
Kenya,"Ghetto Radio

      Multilingual","Nairobi, Kenya",mailto:info@ghettoradio.co.ke
Eritrea,"Dimtsi Hafash Radio 1

      Alenalki Eritrea Forever !!!",,mailto:webmaster@alenalki.com
Namibia,"NBC Ovambo

      German","Klein Windhoek, Namibia",mailto:fzinner@nbc.na
Uganda,"Connect Radio

      Number One for Ugandan Music.","Kampala, Uganda",mailto:studio@connectuganda.com
Tunisia,"Express FM

      Createur de valeur",,mailto:contact@expressfm.tn
South Africa,"Radio Tygerberg FM

      Ons Verkondig Christus We Proclaim Christ","Bellville, South Africa",mailto:willem@104fm.org.za
Cote D'ivoire,"RFI 1 Afrique

      French",,http://tunein.com/Syndication/Edit/?stationId=16127
Reunion,"Velly Music

      # One 974 Hip-Hop Radio Scacion",,http://tunein.com/Syndication/Edit/?stationId=6330
Nigeria,"Nigeriainfo FM 92.3 PH

      Your #1 Talk, News & Sport Station","Port Harcourt, Nigeria",mailto:rcahilig@coollink.us
Burkina Faso,"Radio Unitas

      English","Diebougou, Burkina Faso",mailto:unitasdbg@voil%C3%A0.fr
Malawi,"MBC Radio 2

      Multilingual",,http://tunein.com/Syndication/Edit/?stationId=206844
South Africa,"Munghana Lonene FM

      Ndzalama Ya Rixaka","Johannesburg, South Africa",mailto:mlfm@sabc.co.za
Gabon,"Radio Emergence

      French","Paris, Gabon",http://tunein.com/Syndication/Edit/?stationId=10774
Madagascar,"RFI 1 Afrique / local 2h

      French",,http://tunein.com/Syndication/Edit/?stationId=6265
Ghana,"Starr

      Simply The Best!",,mailto:webmaster@starrfmonline.com
Tanzania,"Radio One

      Swahili","Dar es Salaam, Tanzania",mailto:info@radio1.co.tz
Benin,"Capp FM

      La Radio Du Succes",,mailto:info@cappfm.com
Cameroon,"Magic FM

      La chaine qui dechaine",,http://tunein.com/Syndication/Edit/?stationId=132102
Tunisia,"Mosaique FM

      French","Boukrim, Tunisia",mailto:commercial.citycenter@topnet.tn
Mauritius,"Radio One R1

      French","Port Louis, Mauritius",mailto:redaction@r1.mu
Gabon,"Radio Emergence

      French",,http://tunein.com/Syndication/Edit/?stationId=10774
Mali,"Radio Madjoura Touba

      French","Touba, Mali",mailto: madjourafm@gmail.com
Cape Verde,"Radio Nova

      English","Vicente Dias, Cape Verde",http://tunein.com/Syndication/Edit/?stationId=9315
Zambia,"Q-FM

      Africa's Modern Radio","Lusaka, Zambia",http://tunein.com/Syndication/Edit/?stationId=110024
Algeria,"Radio Laghouat

      Arabic","Aflou, Algeria",mailto:info@radio-laghouat.dz
Seychelles,"BBC World Service Victoria

      BBC World Service is the...",,mailto:worldservice@bbc.co.uk
