station     city  email
Balikesir Kent Radyo    Balikesir, Turkey izleyicitemsilcisi@kentradyo.tv.tr
Dost FM     Malatya, Turkey   info@dostfm44.com
Cihan Radyo Tosya, Turkey     cihanfm@hotmail.com
Eregli Fm   Eregli, Turkey    info@ereglifm.com.tr
Radio Dedal Lestane, Serbia   radiodedal@gronet.co.yu
Radio Vizioni     Podujevo, Serbia  degjuesit@radio-vizioni.com
Radyo 81    Duzce, Turkey     info@radyo81.com
Radyo Tek   Erzincan, Turkey  tekajans@hotmail.com
RTVS Radio FM     Košice, Slovakia  radiofm@radiofm.sk
Cemre FM    Mardin, Gönle Düşen Cemreyiz... Mardin'in Sesi..., Turkey   cemreradyo@hotmail.com
Radyo Gun   Corum, Turkey     radyo19@hotmail.com
Radio San   Užice, Serbia     redakcija@radiosan.rs
Radio Nostalgija  Beograd, Serbia   nostalgija@naxi.co.rs
Radio Mix   Soke, Turkey      iletisim@radiomix.com.tr
Radyo Gozlem      Milas, Turkey     radyogozlem@gmail.com
Radio Robin Nova Gorica, Slovenia   studio@robin.si
Radio AS FM Novi Sad, Serbia  office@radioas.fm
Radio SEVER Žilina, Slovakia  studio@radiosever.sk
Radyo BRT   Balikesir, Turkey radyobrt90@hotmail.com
Jemné Melódie     Liptovský Mikuláš, Slovakia   vysielanie@jemnemelodie.sk
Romantik Ses FM   Izmit, Turkey     info@romantikses.com
Incitek FM  Erzincan, Turkey  tekajans@hotmail.com
Radyo Piramit     Kocaeli, Turkey   radyo@radyopiramit.com.tr
Radio Gorenc      Dob, Slovenia     glasba@radiogorenc.si
Radyo Haber Tekirdag, Turkey  info@radyohaber.com.tr
Radio Tanjug      Belgrade, Serbia  upr@tanjug.rs
International Radio Serbia - Chinese      Beograd, Serbia   radioju@sbb.rs
Radio Tartini Piran     Piran, Slovenia   info@radiotartini.com
Anténa hitrádio   Bratislava, Slovakia    radiohey@radiohey.sk
Radio Drenasi  FM Glogovac, Serbia  info@radio-drenasi.com
Radio Center      Celje, Slovenia   radiocenter@radiocenter.si
Radio Sora  Škofja Loka, Slovenia   info@radio-sora.si
Radyo Tek   Bergama, Turkey   bilgi@radyotek.com.tr
Radio Capris      Koper, Slovenia   program@radiocapris.si
Er FM Malatya, Turkey   info@malatyaertv.com
Kesan FM    Kesan, Turkey     kesanfm@hotmail.com
Radio Pek   Kucevo, Serbia    radiopek@yahoo.com
Radio 1 Ribnica   Ortnek, Slovenia  info@radio1.si
Radio ADA FM      Vojvodinci, Serbia      info@radioada.rs
Radio Padina      Padina, Serbia    radio.padina@yahoo.com
Trabzon Radyo Sahil     Trabzon, Turkey   trabzonradyo@hotmail.com
Radyo Play  Kocaeli, Turkey   tv41@tv41.com.tr
Radio Beograd 1   Belgrade, Serbia  rtstv@rts.rs
R Kosova 2  Priština, Serbia  blues@rtklive.com
TRT Trabzon Trabzon, Turkey   radyoyenimedya@trt.net.tr
Radio Bubamara    Svrljig, Serbia   radiobubamara@hotmail.com
Radio 1 Maribor   Maribor, Slovenia info@radio1.si
Radio Center      Nova Gorica, Slovenia   radiocenter@radiocenter.si
Radio Slavoslovlje      Beograd, Serbia   info@slavoslovlje.rs
Radio WOW   Banovce nad Bebravou, Slovakia      info@radiowow.sk
MAX FM Jagodina   Jagodina, Serbia  maxfm@beotel.net
Mavi Radio  Antakya, Turkey   iletisim@maviradyom.com
Radyo Nevsehir    Nevsehir, Turkey  radyonevsehir@gmail.com
Radyo Zigana      Trabzon, Turkey   ziganaradyo@hotmail.com
Radyo Fresh Kahramanmaras, Turkey   reklam@radyofresh.com
Radio Kranj Kranj, Slovenia   radiokranj@radio-kranj.si
Radio Slovenske Gorice  Ljubljana, Slovenia     urednistvo@rsg.si
OK Radio    Belgrade, Serbia  studio@okradio.net
Radio Brezje      Boraceva, Slovenia      info@radiobrezje.si
Radio Salomon     Blejska Dobrava, Slovenia     studio@radiosalomon.si
Radio Krka  Novo mesto, Slovenia    novice@radiokrka.com
Radio Bor   Bor, Serbia radiobor@rtvbor.rs
Radio 34    Kragujevac, Serbia      radio34kg@yahoo.com
Sivas FM    Sivas, Turkey     sivasfm882@hotmail.com
Radio Pink  Belgrade, Serbia  tanja.vojtehovski@rtvpink.com
Banker Radio      Niš, Serbia javinam@radiobanker.rs
Radio 1 Vrhnika   Ljubljana, Slovenia     info@radio1.si
Radyo 2000  Elazığ, Turkey    info@radyoikibin.com.tr
Radio Rogla Slovenske Konjice, Slovenia   novice-radiorogla@siol.net
Tutku FM    Savsat, Turkey    info@tutkufm.net
Radio MARS  Maribor, Slovenia info@radiomars.si
Kemençe FM  Sakarya, Turkey   info@kemencefm.com
Radyo Lojik Afyonkarahisar, Turkey  info@radyolojik.com
Radio Active      Becej, Serbia     direktor@radioactive.rs
Rádio Sport kosice, Slovakia  radio@radiosport.sk
Radio Banja 2     Vrnjacka Banja, Serbia  office@banja2.com
Melodi FM   Ordu, Turkey      melodifm@melodifm.net
Radyo Firat Elazig, Turkey    radyofirat@hotmail.com
Radyo Mega  Malatya, Turkey   info@radyomega44.com
Radio Fokus Belgrade, Serbia  info@fokus-radio.rs
Radyo Yakamoz     Osmaniye, Turkey  radyoakdenizfm@gmail.com
Radyo 09    Aydin, Turkey     radyom09@gmail.com
Radio Studio B    Belgrade, Serbia  webmaster@studio-b.co.yu
Radio Dunav Novi Sad, Serbia  redakcija@radiodunav.com
RTVS R Regina BB  Banská Bystrica, Slovakia     dubovec@rozhlas.sk
Radio Ognjisce    Krvava Pec, Slovenia    robert.bozic@ognjisce.si
RTVS R Slovakia Int     Bratislava, Slovakia    info@radiofm.sk
Antena Radio      Kruševac, Serbia  info@antenaradio.co.yu
Radyo Tech  Milas, Turkey     info@radyotech.com
Amasya Radyo Gul  Amasya, Turkey    amasyakent@hotmail.com
Radio Bum   Kraljevo, Serbia  radiobum108.kv@gmail.com
Radio Center      Slovenj Gradec, Slovenia      radiocenter@radiocenter.si
Top Radio   Pojate, Serbia    info@topradio.rs
Sport FM    Belgrade, Serbia  sportfm@tehnicom.net
Radio Hit   Partizánske, Slovakia   program@radioHit.si
Radio City  Ljubljana, Slovenia     novice@radiocity.si
Radyo Armoni      Tekirdağ, Turkey  izleyicitemsilcisi@armonifm.com
Radyo Net   Isparta, Turkey   radyonet@nettesiniz.net
Yozgat Super Radyo      Yozgat, Turkey    info@radyodinle.com
Turisticni Radio Potepuh      Bled, Slovenia    info@potepuh.com
RTVS R Patria     Prešov, Slovakia  zemkova@rozhlas.sk
Radio Zavicaj Plus      Godacica, Serbia  office@radiozavicajplus.com
Radyo Tokat Tokat, Turkey     tokatrtv@gmail.com
RTVS Radio FM     Trencín, Slovakia radiofm@radiofm.sk
Radio Beograd 202 Crveni, Serbia    rtstv@rts.rs
Radio Laguna      Belgrade, Serbia  kontakt@radiolaguna.rs
Radio Go Deejay   Bratislava, Slovakia    djgo@djgo.sk
Guncel FM   Erzurum, Turkey   guncelfm25@mynet.com
Radyo Sahin Suadiye, Turkey   istek@radyosahin.com
Radyo Selam Malatya, Turkey   aliguner@radyoselam.com
Radyo Saray Saray, Turkey     radyosaray@hotmail.com
Radyo EKO   Bodrum, Turkey    iletisim@eko.fm
Sultan Radyo      Kahramanmaraş, Turkey   info@sultanradyo.com
Radio City  Celje, Slovenia   novice@radiocity.si
Dobré rádio Prešov, Slovakia  dobreradio@dobreradio.sk
Armoni FM   Afyonkarahisar, Turkey   afyonarmonifm@hotmail.com
Radyo Melodi      Çorum, Turkey     radyo_melodi@hotmail.com
Radio Vala 2000   Suva Reka, Serbia info@radiovala2000.com
Radio Index Belgrade, Serbia  kontakt@indexradio.com
Gurbetçi FM Denizli, Turkey   gurbetcifm20@hotmail.com
Urfa Radyo Net    Sanliurfa, Turkey info@urfaradyonet.com
RTVS R Regina BB  Žilina, Slovakia  dubovec@rozhlas.sk
Radio Index Gucevo, Serbia    kontakt@indexradio.com
Radio Oncu  Cilimli, Turkey   djugur@hotmail.com
Radio 1 Velenje   Velenje, Slovenia info@radio1.si
Radio UB    UB, Serbia  radioub931@gmail.com
Radio 1     Ljubljana, Slovenia     info@radio1.si
Ozon Radio  Sremska Mitrovica, Serbia     redakcija@ozon.rs
Radio Murski Val  Murska Sobota, Slovenia rmv@p-inf.si
Gebze FM    Kocaeli, Turkey   info@radyogebzefm.com
Tur FM      Mugla, Turkey     info@turfm.com
Radio Dodona      Glogovac, Serbia  radiododona@hotmail.com
Radyo Universite  Erzurum, Turkey   102radyouniversite@gmail.com
Radio Dak   Cuprija, Serbia   radiodak@hotmail.com
Radyo B     Bartin, Turkey    mail@radyob.net
Radio Snoopy      Zagorje ob Savi, Slovenia     radio@snupko.com
Radio Apatin      Apatin, Serbia    info@radioapatin.com
Afsin FM    Kahramanmaras, Turkey   info@afsinradyo.com
Radyo Hatmar      Antioch, Turkey   info@radyohatmar.com
Radio Biser Plus  Malo Crnice, Serbia     radio.biser@madnet.rs
Anadolu Radyo     Kocaeli, Turkey   bilgi@anadoluradyo.com
Art FM      Agri, Turkey      artfm98.0@gmail.com
Radio Europa 05   Ljubljana, Slovenia     studio@radioeuropa05.si
Radio Net FM      Maribor, SI, Slovenia   info@radionet.si
RTVS R Patria     Bratislava, Slovakia    zemkova@rozhlas.sk
CRT FM      Civril, Turkey    civriltv@hotmail.com
Radio Ptuj  Ptuj, Slovenia    nabiralnik@radio-tednik.si
HIT FM      Belgrade, Serbia  vladan@hitfm.rs
Hit Music Fm      Vranje, Serbia    info@roadstar.co.yu
L-Rádio     Liptovsky Mikulas, Slovakia   lradio@lradio.sk
Radio Laser Slovenj Gradec, Slovenia      radio@laserr.si
Radio 1 Koroska   Krsko, Slovenia   info@radio1.si
Radio Plus  Polzela, Slovenia urednistvo@raplus.com
Bizim Iller Radyo Kat, Turkey bizimiller@hotmail.com
Radio Gold  Srednjevo, Serbia goldradio@profypc.net
Alpski Val Radio  Tolmin, Slovenia  info@radio-odmev.net
Ultra FM    Balıkesir, Turkey info@ultrafm.com.tr
Radyo 80    Osmaniye, Turkey  radyo80@radyo80.com
Radio Stari Milanovac   Gornji Milanovac, Serbia      info@starimilanovac.in.rs
Demokrat FM Zonguldak, Turkey haber@ereglidtv.net
City Radio  Niš, Serbia radio@radiocity.co.yu
Naxi Radio  Belgrade, Serbia  office@naxi.co.rs
Radio Dur   Ljubljana, Slovenia     samo@dur.si
Radio Center      Krsko, Slovenia   radiocenter@radiocenter.si
RTVS Radio FM     Mikula, Slovakia  radiofm@radiofm.sk
Jemné Melódie     Bratislava, Slovakia    vysielanie@jemnemelodie.sk
Radio Stotka      Vrnjacka Banja, Serbia  radiostotka@arhisoft.net
Radio Televizija Kagujevac    Kragujevac, Serbia      uredniktv@rtk.co.rs
FISTIK FM 88.4    Samsun , Turkey   fistikfm88.4@hotmail.com
Radyo Extra Tokat, Turkey     info@radyoextra.com
Radyo 71    Osman, Turkey     radyo71@windowslive.com
Aksaray Kral FM   Aksaray, Turkey   info@aksaraykralfm.net
Radio Srbobran    Srbobran, Serbia  radiosrbobran@neobee.net
Radyo 59    Tekirdag, süleymanpaşa, Turkey      kanal59@kanal59.com.tr
Radio Tour  Poprad, Slovakia  radiotour@radiotour.sk
Radio 103   Subotica, Serbia  office@radio103.rs
HIT RADIO NET     Požarevac, Serbia info@hitradio.rs
Radyo Hilal Sivas, Turkey     info@hilalradyo.net
Play Radio  Belgrade, Serbia  radio@b92.net
Radio 019   Negotin, Serbia   info@019.co.rs
Kralim FM   Kars, Turkey      posta@kralimfm.com
Kafkas FM   Kars, Turkey      istek@karskafkasfm.com
Prvi Radio Beograd      Belgrade, Serbia  info@prviradio.rs
Radyo Irfan Malatya, Turkey   radyoirfan@hotmail.com
Radio Baltazar    Niš, Serbia radio@baltazar.co.yu
Radio Center      Ljubljana, Slovenia     radiocenter@radiocenter.si
Umut FM     Nigde, Turkey     umut@umutfm.com
Radio Ljubav      Jagodina, Serbia  ljubav.radio@gmail.com
Radyo Urfa  Sanliurfa, Turkey radyourfa@hotmail.com.tr
Radio Stari grad - RSG  Kragujevac, Serbia      office@rsg.rs
Radio Bis Plus    Kragujevac, Serbia      bis@kg.sbb.co.yu
Giresun FM  Giresun, Turkey   iletisim@giresunfm.com
Koroski Radio     Ljubljana, Slovenia     info@koroski-radio.si
Hit Music Fm      Subotica, Serbia  info@roadstar.co.yu
Radyo Yüksel      Batman, Turkey    radyoyuksel@hotmail.com
Rádio Plus 105.9 FM     Nitra, Slovakia   studio@radioplus.sk
Kuzey FM    Trabzon, Turkey   kuzeytv@kuzeymedya.com
Radyo Ilkhaber    Balıkesir, Turkey info@ilkhabergazetesi.tv
Soylu FM    Kirklareli, Turkey      info@soylufm.com.tr
Radio Iskon Vranje, Serbia    radioiskon@nadlanu.com
Timoeki Radio Zajeear   Grljan, Serbia    TimockiRadio@Yahoo.com
Bravo FM    Kragujevac, Serbia      office@bravofm.net
Tempo FM    Giresun, Turkey   info@tempofm.org
Radio Ragtime     Bratislava, Slovakia    info@ragtime.sk
Radio Serbia      Belgrade, Serbia  radioju@sbb.co.yu
Stereorama  Novi Sad, Serbia  stereorama@sezampro.yu
Radio Moravac     Lozovik, Serbia   moravacradio@yahoo.com
Batman Genclik FM Batman, Turkey    info@batmangenclikfm.com.tr
Alanya Radyo Time Alanya, Turkey    reklam@alanyaradyotime.com
Radyo Sok   Hatay, Turkey     asyaradyo@gmail.com
Radio San Marino Classic      San Marino, San Marino  classic@sanmarinortv.sm
Radyo Enerji      Ordu, Turkey      enerjifm_52@hotmail.com
Radio Tema  Urosevac, Serbia  visartema@yahoo.com
Radio Jat   Belgrade, Serbia  jadranka@radiojat.rs
Radio Yes   Topoľčany, Slovakia     studio@radioyes.sk
Bati Radyo  Bati, Turkey      reklam@batiradyo.com
Radyo Yeditepe    Yeditepe, Turkey  info@radyoyeditepe.com
Radio Pirot Pirot, Serbia     radio@radiopirot.com
Radio Sity  Bratislava, Slovakia    studio@radiosity.sk
Mega FM     Aydın, Turkey     radyomegafm@hotmail.com.tr
Prvi  Ljubljana, Slovenia     webmaster@rtvslo.si
Radio Center      Novo Mesto, Slovenia    radiocenter@radiocenter.si
Радио Београд 202 Belgrade, Serbia  rtstv@rts.rs
Radio Top   Maribor, Slovenia urednistvo@radiotop.fm
Akdag FM    Yozgat, Turkey    akdagfm_66@hotmail.com
Hatay FM    Antakya, Turkey   iletisim@hatayfm.net
Usak Radyo Klas   Usak, Turkey      usakradyoklas@gmail.com
Radyo Akdeniz     Eroglu, Turkey    bilgi@radyoakdeniz.net
Radio Sombor      Sombor, Serbia    info@radiosombor.co.rs
Radyo Sir   Sapanca, Turkey   bilgi@radyosir.com
Radio Max   Bratislava, Slovakia    info@radiomax.sk
Fast Radio  Niš, Serbia draganamitrovic@fastradio.co.rs
Radio O21   Novi Sad, Serbia  webmaster@radio021.info
Radio Antena      Ljubljana, Slovenia     urednistvo@radioantena.si
Boss Radio  Novi Sad, Serbia  bossradio@ns.sbb.co.yu
RTV Radio Belle Amie    Niš, Serbia belamiportal@gmail.com
Radio 1 Bela krajina    Crnomelj, Slovenia      aleksander.riznic@radio-odeon.com
Radio Hit FM      Partizánske, Slovakia   hitfm@hitfm.sk
Radio Djerdap     Kladovo, Serbia   braca@radiodjerdap.com
Radio Seven Niš, Serbia radioseven@radioseven.rs
Radio Futog Futog, SE, Serbia radiofutog@panline.net
Radio Restauracion      Mala, Slovakia    radio@elim.org.sv
Bum Bum Radio     Novi Beograd, Serbia    goran.samardzic@bumbumradio.rs
Radio D Lucani    Lucani, Serbia    radiod@eunet.rs
Radyo Camlica     Balikesir, Turkey info@radyocamlica.com
Rádio Rock  Banská Bystrica, Slovakia     studio@radiorock.sk
Radyo Gundem      Tekirdag, Turkey  radyogundem@hotmail.com
Radio Radlje      Radlje ob Dravi, Slovenia     info@radioradlje.si
San Marino RTV    San Marino, San Marino  radio@sanmarinortv.sm
Radyo Ritm  Erzurum, Turkey   ritm@radyoritm.com
Dost FM     Antakya, Turkey   mazmanmedya@hotmail.com
Cesur Radyo Kahramanmaraş, Turkey   canli@cesurfm.com
Gold Radio Branicevo    Branicevo, Serbia radio-gold@hotmail.com
Ordu FM     Ordu, Turkey      info@ordufm.com.tr
Radyo Tutku Kocaeli, Turkey   info@tutkuradyo.com
Slovo Ljubve      Belgrade, Serbia  redakcija@slovoljubve.com
Bizim Radyo Hurriyet, Turkey  info@894bizimradyo.com
Radyo Ilkadim     Ilkadim, Turkey   radyoilkadim@hotmail.com
Radio Kum   Trbovlje, Slovenia      info@radio-kum.si
Radyo Net   Adapazari, Turkey info@radyonet.net
Radio Marija (Serbia)   Novi Sad, Serbia  radiomarija.srbija@gmail.com
Radio Llapi Podujevo, Serbia  radiollapi@hotmail.com
Melody FM   Trencin, Slovakia melodyfm@melodyfm.sk
Radyo Ihsan Osmaniye, Turkey  radyoihsan@gmail.com
Radio Alba  Klina, Serbia     info@radioalba.eu
Usak Ozlem FM     Usak, Turkey      info@ozlemfm.net
Radio Stara Pazova      Stara Pazova, Serbia    mail@rsp.co.yu
Radio Beograd 2   Belgrade, Serbia  rtstv@rts.rs
Radio Cetiri      Bajina Basta, Serbia    Radiocetiri@live.com
Radio K4    Novi Sad, Serbia  radio@radiokfor.com
Hit Radio   Kragujevac, Serbia      hitradio@verat.net
Gogy Radio  Gornji Milanovac, Serbia      gogy106@alfagm.net
RTVS Radio FM     Bratislava, Slovakia    radiofm@radiofm.sk
Radio Planeta     Novi Sad, Serbia  radioplaneta@eunet.rs
Radio Op Top      Rudnik, Serbia    radio@optop.co.yu
Radio Impuls      Backa Palanka, Serbia   radioimpuls.bp@gmail.com
Radio Kosice      Bratislava, Slovakia    info@radiokosice.sk
Antena Radio FM   Kruševac, Serbia  info@antenaradio.co.yu
Radio Piestany    Piestany, Slovakia      vysielanie@radiopiestany.sk
Radio Valjevo     Valjevo, Serbia   radiovaljevo@gmail.com
Oltu Super FM     Oltu , Turkey     orhananik@hotmail.com
Radio Srem  Ruma, Serbia      info@radiosrem.rs
Radyo Su    Edirne, Turkey    radyosu@radyosu.com.tr
RTV Majdanpek     Majdanpek, Serbia admin@rtvmajdanpek.com
Radyo X EGE Nazilli, Turkey   radyoxege@hotmail.com
Radyo 13    Bitlis, Turkey    iletisim@radyo13.com
Fun Radio Live    Bratislava, Slovakia    info@funradio.sk
Yerkoy FM   Yerkoy, Turkey    reklam@radyovizyon.com.tr
Radio Buca  Novi Sad, Vojvodina, Serbia   info@radiobuca.rs
Hit Music Fm      Avala, Serbia     info@roadstar.co.yu
Radyo Emek  Emek, Turkey      info@radyoemek.net
Radyo Tempo Sapanca, Turkey   info@actionmedya.com
Radio Stara Carsija     Belgrade, Serbia  direktor@radiostaracarsija.com
Radyo Hazar Elazığ, Turkey    info@radyohazar.com.tr
Radyo Liva  Sanliurfa, Turkey Info@radyoliva.com
Radio Subotica    Subotica, Serbia  msz@radiosubotica.co.yu
Radyo Mega  Sanliurfa, Turkey radyomega63@yahoo.com
Magic FM    Karabuk, Turkey   bilgi@magicfm92.com.tr
Radio Prlek Ormoz, Slovenia   info@radioprlek.net
Radio Aktual      Ljubljana, Slovenia     info@radioaktual.si
RTVS Radio FM     Cadca, Slovakia   radiofm@radiofm.sk
Radyo Cadde Kirsehir, Turkey  info@radyocadde.com
Radyo Mavi  Kocaeli, Turkey   info@radyomavi.com
Radio Zeleni      Zakl, Slovenia    boris.peterka@zelenival.com
Radyo Gül   Kocaeli, Turkey   radyogulyonetmen@hotmail.com
Radio 7 SK  Bratislava , Slovakia   radio7@radio7.sk
Radio Novosti     Belgrade, Serbia  radio@novosti.rs
Radio Maribor     Maribor, Slovenia radio.maribor@rtvslo.si
Radyo Flash Giresun, Turkey   iletisim@radyoflash.com.tr
Cagri FM    Bayburt, Turkey   bayburtcagrifm@hotmail.com
Radio Morava      Jagodina, Serbia  info@radiomorava.rs
Radio SIGNAL      Novi Sad, Serbia  info@radiosignal.rs
Radio City  Maribor, Slovenia novice@radiocity.si
Radyo Turkuvaz    Cesme, Turkey     info@radyoturkuvaz.com.tr
Radyo Elci  Afyonkarahisar, Turkey  info@radyoelci.com
Arkadas Radyo     Sivas, Turkey     radyoarkadas58@hotmail.com
Radio Gaga  Vlasotince, Serbia      radiogaga@open.telekom.rs
Radio Skarabej    Subotica, Serbia  skarabejmarketing@gmail.com
Radio Viva  Bratislava, Slovakia    viva@radioviva.sk
Radio Center      Kranj, Slovenia   radiocenter@radiocenter.si
Aksaray FM  Aksaray, Turkey   aksarayfm@aksarayfm.com
R Kosova 2  Gulijan, Serbia   blues@rtklive.com
Radio Kosmos      Lazarevac, Serbia radiokosmos@open.telekom.rs
Suton Radio Savino Selo, Serbia     info@suton.tv
Radio 31    Užice, Serbia     office@radio31.rs
Degisim Radyo     Zonguldak, Turkey info@degisimradyo.com
Radio Tri   Belgrade, Serbia  redakcija@tri.fm
Radio Ekspres     Ljubljana, Slovenia     program@radioekspres.si
Atak FM     Samsun, Turkey    atak@atakfm.com.tr
Radyo Guven Guven, Turkey     radyoguven@gmail.com
Radio 216   Zitiste, Serbia   radio216@gimelnet.rs
Radio 1 Dolenjska Trebnje, Slovenia info@radio1.si
Radyo Marmara     İzmit, Turkey     studyo@radyomarmara.com.tr
Radio Centar 987  Kragujevac, Serbia      office@radiocentar987.com
Mercan FM   Giresun, Turkey   oktaygul@mercanfm.com.tr
Radio Center      Koper, Slovenia   radiocenter@radiocenter.si
Radio S     Ljubljana, Slovenia     info@radios.si
Radyo Aktif Trabzon, Turkey   istek@aktifradyo.com
Radyo Safak Bolu, Turkey      boluradyosafak@gmail.com
Radyo Turk  Giresun, Turkey   info@RadyoTURK.org
Radio Triglav     Jesenice, Slovenia      info@radiotriglav.si
Radyo 03    Afyonkarahisar, Turkey  info@radyo03.com.tr
Radyo Nikomedya   İzmit, Turkey     nikomedya@nikomedya.com.tr
Solmaz FM   Afyonkarahisar, Turkey  radyosolmaz@gmail.com
Radio Antena      Celje, Slovenia   info@antenastajerska.si
Radio Maxi  Ljutomer, Slovenia      radiomaxi@siol.net
Radio Obrenovac   Obrenovac, Serbia radioobrenovac@gmail.com
Ns Folk Radio     Novi Sad, Serbia  ns_folk@ptt.yu
Ornek Radyo Mugla, Turkey     ornekradyoreklam@gmail.com
ROCK RADIO SI     Idrija, Slovenia  ziga@rockradio.si
Kozan FM    Kozan, Turkey     istek@kozanfm.net
Radyo Zafer Malatya, Turkey   zaferfm@hotmail.com
Radyo Kulup Samsun, Turkey    info@radyokulup.com.tr
Radio Kula  Valjevo, Serbia   radiokula@yahoo.com
Radio Novi Sad 2  Novi Sad, Serbia  veroslava.pop@rtv.co.yu
TDI Radio   Belgrade, Serbia  studio@radio.com
Kent FM     Pristina, Serbia  info@kentfm.com
Radyo Süper 44    Malatya, Turkey   super44@keysmedya.com
Radyo Venus Bandirma    Bandirma, Turkey  venusfm@mynet.com
Kapadokya FM      Nevsehir, Turkey  radyo@kapadokyam.com
Play Radio  Sombor, Serbia    radio@b92.net
Hür FM      Sakarya, Turkey   hurfm@hurfm.com
Radio Kosova      Priština, Serbia  radiokosova@rtklive.com
Cagdas Radyo      Cagdas, Turkey    cagdaskocaeli@gmail.com
Hit FM      Elazig, Turkey    info@hitfm.com.tr
Radio Romic Murska Sobota, Slovenia info@romic.si
Fedra Radio Zrenjanin, Serbia fedraradio@sezampro.yu
Radio 1 Prekmurje Murska Sobota, Slovenia info@radio1.si
Radio Belvi Kranj, Slovenia   info@radiobelvi.si
Bizim Radyo İzmit, Turkey     Dinleyici@bizimradyo.com.tr
Radio Indjija     Indjija, Serbia   radioindjija@yahoo.com
Radio Dukagjini   Zatric, Serbia    info@dukagjini.com
samsun haber radyo      Samsun, Turkey    info@samsunhaberradyo.com
Kayseri FM  Kocasinan, Turkey info@kayserifm.com.tr
Rubin Radio Kruševac, Serbia  info@rubinradio.com
Top Iliria Radio  Belgrade, Serbia  info@topiliriaradio.com
RTVS Radio FM     Bardejov, Slovakia      radiofm@radiofm.sk
Radio Pozarevac   Požarevac, Serbia radiopo@ptt.rs
Radio Antena Beograd    Belgrade, Serbia  info@radioantena.rs
Evrensel FM Isparta, Turkey    istek@evrenselfm.com
Radio 90    Subotica, Serbia  radio90@yunord.net
Radio 1 Obala     Koper, Slovenia   info@radio1.si
Radio Beta  Bojnice, Slovakia obchod@beta.sk
Yildiz FM   Erzurum, Turkey   radyoyildiz_25@hotmail.com
Gonen Radyo Venus Gonen, Turkey     info@gonenradyovenus.com
Radyo Mola  Edirne, Turkey    edirneajans@hotmail.com
Radyo 32    Isparta, Turkey   info@radyo32.com.tr
Radyo Mega  Nevsehir, Turkey  bilgi@nevsehirradyomega.com
Top FM      Belgrade, Serbia  office@topfm.rs
Lux Radio   Belgrade, Serbia  lux@luxradio.net
Radyo Sonix Heraclea, Turkey  sonix@radyosonix.com
Genc FM     Çerkezköy, Turkey bilgi@gencfm.net
Caglar FM   Malatya, Turkey   radyocaglar@radyocaglar.com
Radio Hit   Ljubljana, Slovenia     program@radioHit.si
Radio Bus   Kovin, Serbia     office@radiobus.co.rs
RTVS R Patria     Rimavská Sobota, Slovakia     zemkova@rozhlas.sk
Radio 9 FM  Kragujevac, Serbia      radio9kg@verat.net
Radio Petica      Niš, Serbia radio@rtv5
