station,city,email,country
FM Chappy,"Saitama, Japan",fmchappy@ictv.ne.jp,Japan
RTHK Radio 5,"Kowloon, Hong Kong",radio5@rthk.hk,Hong Kong
Banten Radio,"Cilegon, Indonesia",banten@bantenradio.com,Indonesia
Hot FM 105 - Nausheroferoz,"Naushahro, Pakistan",feedback@hotfm.com.pk,Pakistan
FM Poco,"Fukushima, Japan",762@fm-poco.co.jp,Japan
Southern Wave,"Miyako, Japan",765@fm-miyako.com,Japan
RADIO HOKI,"Tanjungpandan, Indonesia",yuevse@yahoo.com,Indonesia
Radio One,"Bangalore, India",bang@radioone.in,India
BFBS Brunei,"Seria, Brunei Darussalam",adminofficer@bfbs.com,Brunei Darussalam
Hello FM,"Tiruchirappalli, India",Indu@hellofm.in,India
DWKC-HD3,"Manila, Philippines",ifmmanila@rmn.ph,Philippines
Lanan FM,"Lan-ch'eng, Taiwan",lanan147@ms23.hinet.net,Taiwan
Lucky Radio 100.7,"T'ai-chung-shih, Taiwan",lucky@lucky7.com.tw,Taiwan
Rakuten.FM TOHOKU,"Sendai, Japan",baseball-radio@mail.rakuten.com,Japan
Kaohsiung Hakka Music Radio,"Kaohsiung, Taiwan",formosa@superfm98-5.com.tw,Taiwan
Radio Pakistan - Muzaffarabad,"Muzaffarabad, Pakistan",sdmuzaffarabad@yahoo.com,Pakistan
HBC Radio,"Sapporo, Japan",rdoprod@hbc.co.jp,Japan
Radio Macau Portuguese,"Macao, Macau, Macau",inf@tdm.com.mo,Macau
JAMBI FM,"Jambi, Indonesia",jambifm@yahoo.co.id,Indonesia
Radio 2 UAE,"Abu Dhabi, United Arab Emirates",brent@myradio2.ae,United Arab Emirates
Radio Dilber,"Charsadda, Pakistan",info@radiodilber.com,Pakistan
Radio Maria,"Manila, Philippines",info.phi@radiomaria.org,Philippines
Yeridasartoutian Tsayne,"Beirut, Lebanon",info@yeridasartoutiantsayn.com,Lebanon
Love Radio,"Miagao, Philippines",dymb_97.5loveradioiloilo@yahoo.com,Philippines
Shaanxi News Radio,"Xi'an, Shaanxi, China",sxradio6105@126.com,China
FM Kusatsu,"kusatsu, Japan",info@fm785.jp,Japan
AIR Radio West Service,"Gwalior, MP, India",airlive@air.org.in,India
Nepal FM,"Kathmandu, Nepal",radio@nfm.com.np,Nepal
IFM 93.9,"Manila, Philippines",ifmmanila@rmn.ph,Philippines
Kontiki Hot Fm,"Banda Aceh, Indonesia",official@kontikihotfm.com,Indonesia
漢聲廣播電台,"T'ai-tung, Taiwan",vohradio@voh.com.tw,Taiwan
Benor-FM,"Jambi, Indonesia",benorfm@yahoo.co.id,Indonesia
Radio One,"Kolkata, India",actionfataafat@radioone.in,India
RTHK Radio 4,"Kowloon, Hong Kong",radio4@rthk.hk,Hong Kong
Anhui Economics Radio,"Hefei, Anhui, China",news@ahradio.com.cn,China
FM Toyomi,"Toyomi, Japan",832@fm-toyomi.com,Japan
Gold 90.5 FM,"Caldecott Hill Estate, Singapore",gold905@mediacorp.com.sg,Singapore
Shanghai Jiading Radio,"Shanghai, China",jdtv_lw@qq.com,China
RTHK 3,"Kowloon, Hong Kong",radio3@rthk.org.hk,Hong Kong
Suara Praja,"Tanjungpandan, Indonesia",info@belitungkab.go.id,Indonesia
FM Nack 5,"Saitama, Japan",night@nack5.co.jp,Japan
AIR Radio West Service,"Pune, MH, India",airlive@air.org.in,India
SLBC Kandurata FM,"Hunnasgiriya, Sri Lanka",dg@slbc.lk,Sri Lanka
Tianjin Economics Radio,"Tianjin, Tianjin, China",radiotj2010@sina.com,China
Radio Grande,"Tashkent, Uzbekistan",radio@grand.uz,Uzbekistan
The Zone Music,"Naga City, Philippines",admin@zone105.co.cc,Philippines
Quran Radio,"Nablus, Palestinian Territory",info@quran-radio.com,Palestinian Territory
Newhakka Radio,"Taipei, Taiwan",fm935@ms21.hinet.net,Taiwan
Radio Pakistan - Rawalpindi II,"Rawalpindi, Pakistan",info@radio.gov.pk,Pakistan
FM Uruma,"Okinawa, Japan",868@fm-uruma.com,Japan
Bombo Radyo Butuan,"Butuan, Philippines",bombo_butuan@bomboradyo.info,Philippines
Pohang CBS,"Pohang, South Korea",kilhyun@cbs.co.kr,South Korea
City FM Miyakonojo,"Miyakonojo, Japan",info@cityfm764.com,Japan
Oki Radi,"Okinawa, Japan",okinawa@fm854.com,Japan
Fever 104 FM,"Kolkata, India",fever104@fever.fm,India
AIR Radio South Service,"Bangalore, KA, India",airlive@air.org.in,India
Shandong Economics Radio,"Mengshan, Shandong, China",sdgbw@126.com,China
Zhengzhou Auto Radio,"Zhengzhou, Henan, China",zzdtgeyang@126.com,China
Hit FM 90.1,"Kaohsiung City, Taiwan",service@hitoradio.com,Taiwan
Xuzhou News Radio,"Xuzhou, Jiangsu, China",radio@xzgd.com,China
Smile FM,"Asaka, Japan",info@fm767.net,Japan
GOLD FM 93.5,"Digos, Philippines",goldfm935@yahoo.com,Philippines
Anhui Music Radio,"Hefei, Anhui, China",news@ahradio.com.cn,China
PBC FM 101,"Lahore, Pakistan",info@radio.gov.pk,Pakistan
Fujian News Radio,"Fuzhou, Fujian, China",fjgb@sina.com,China
Shanghai FM 101.7 Radio,"Shanghai, China",fm1017@sina.cn,China
Dil FM Okara,"Okara, Pakistan",info@fmdil.com,Pakistan
Jilin Traffic Radio,"Changchun, Jilin, China",info@jlradio.cn,China
VOV2,"Hanoi, Hanoi, Vietnam",vovnews@hn.vnn.vn.,Vietnam
Xinhui Radio,"Jiangmen, Guangdong, China",msrx@xhcatv.com.cn,China
AIR Radio West Service,"Nasik, MH, India",airlive@air.org.in,India
Pathibhara FM,"Jhapa, Nepal",pathibharafm@pathibharafm.com,Nepal
Shakthi FM,"Colombo, Pannipitiya, Sri Lanka",shakthifm@maharaja.lk,Sri Lanka
Radio Mirchi,"Mumbai, MH, India",sriram.kilambi@timesgroup.com,India
Radio Nawa (Kurdish),"Baghdad, Iraq",info@radionawa.com,Iraq
Hot FM 105 - Shikarpur,"Shikarpur, Pakistan",feedback@hotfm.com.pk,Pakistan
漢聲廣播電台,"T'ao-yuan, Taiwan",vohradio@voh.com.tw,Taiwan
Zoo FM,"Batam Centre, Indonesia",rio@ramakogroup.com,Indonesia
Beijing Story Radio,"Beijing, Beijing, China",kefu@rbc.cn,China
MOR 93.5,"Naga, Philippines",mor935@yahoo.com,Philippines
Bombo Radyo Cagayan de Oro,"Cagayan de Oro, Philippines",bombo_cdo@bomboradyo.info,Philippines
Kitakata City FM,"Kitakata, Japan",782@fm-kitakata.co.jp,Japan
Radio Chat,"Niigata, Japan",info@chat761.com,Japan
Shandong Sports Leisure Radio,"Jinan, Shandong, China",1021fm@163.com,China
Daun Penh EFM,"Phnom Penh, Cambodia",info@daunpenhefm.com,Cambodia
Yunnan Music Radio,"Kunming, Yunnan, China",admin@ynradio.net,China
Tangshan Economics Radio,"Tangshan, Hebei, China",radiots@163.com,China
Modern Radio Trat,"Trat, Thailand",FM_Trat@MCOT.NET,Thailand
FM San-in,"Matsue, Japan",webmaster@fm-sanin.co.jp,Japan
Hot FM 105 - Chitral,"Chitral, Pakistan",feedback@hotfm.com.pk,Pakistan
CBS 표준 FM 98.1,"cheonju, South Korea",help@cbs.co.kr,South Korea
CBS BUSAN FM,"Busan, South Korea",voice@cbs.co.kr,South Korea
Inner Mongolia News Radio In Mandarin,"Huhehaote, Inner Mongolia, China",imbs@163.com,China
Yingkou Traffic & Arts Radio,"Yingkou, Liaoning, China",jtwy@ykrtv.com,China
All India Radio,"Patna, BR, India",airlive@air.org.in,India
漢聲廣播電台,"Hua-lien-ssu, Taiwan",vohradio@voh.com.tw,Taiwan
RRI Gorontalo,"Gorontalo, Indonesia",manroid@yahoo.com,Indonesia
Radio Pakistan - Khairpur,"Khairpur, Pakistan",info@radio.gov.pk,Pakistan
Hebei Traffic Radio,"Shijiazhuang, Hebei, China",hbgbw@sina.com,China
Radio Beirut,"Beirut, Lebanon",onair@radiobeirut.net,Lebanon
JOZF AM,"Gifu, Japan",rhensei@zf-web.com,Japan
Style 93 FM,"Tasikmalaya, Indonesia",contact@radiostylefm.com,Indonesia
FM G'sky,"Takikawa, Hokaido, Japan",info@fmgsky.com,Japan
Yueqing Radio,"Yueqing, Zhejiang, China",1565866@qq.com,China
Radio Atom,"Bishkek, Kyrgyzstan",atomfm@gmail.com,Kyrgyzstan
Hala FM,"Muscat, Oman",info@halafm.com,Oman
EBS - Educational Broadcasting System,"Seoul, South Korea",hotline@ebs.co.kr,South Korea
Gifu Radio,"Gifu, Japan",info@radio-80.com,Japan
Rama FM Sukabumi,"Sukabumi, Indonesia",ramafm@cbn.net.id,Indonesia
I AM Radio 89FM,"Lopburi, Thailand",wisan@onair.network,Thailand
Radio Pakistan - Hyderabad I,"Hyderabad, Pakistan",info@radio.gov.pk,Pakistan
Xinjiang News Radio,"Urumqi, Xinjiang, China",mw738@21cn.com,China
ABC Gold FM,"Colombo, Sri Lanka",info@lotustechnologies.lk,Sri Lanka
沈阳经济广播,"Shenyang, Liaoning, China",zhangtao@syradio.cn,China
DhiFM 95.2,"Malé, Maldives",ashiya@dhifm.mv,Maldives
JRT Radio,"Tokushima, Japan",webmaster@jrt.jp,Japan
Modern Radio Phatthalung,"Phatthalung, Thailand",FM_Phatthalung@MCOT.NET,Thailand
DYRD,"Tagbilaran City, Philippines", webmaster@dyrdam.com,Philippines
91.5 Win Radio,"Manila, Philippines",mannyluzon@yahoo.com,Philippines
Bass FM,"Bojonegoro, Indonesia",bassfm@bojonegoro.wasantara.net.id,Indonesia
Shaoxing News Radio,"Shaoxing, Zhejiang, China",scbtvzbs@163.com,China
Radio Mirchi,"Coimbatore, Tamil Nadu, India",vinay.prasant@timesgroup.com,India
Radio Takasaki,"Takasaki, Japan",762@takasaki.fm,Japan
Gyan Vani,"Patna, BR , India",imperialravi7@gmail.com,India
Big Sound FM,"Tuguegarao City, Philippines",info@bigsound.com,Philippines
FM Radio Baribari,"Imabari, Japan",fmbari@dokidoki.ne.jp,Japan
U Radio,"Hong Kong, Hong Kong",uradio@phoenixtv.com,Hong Kong
FMK,"Kumamoto, Japan",info@fmkumamoto.jp,Japan
Radio Agatt,"Shibata, Japan",gokigenradio@agatt769.co.jp,Japan
988FM,"George Town, Penang, Malaysia",feedback@988.com.my,Malaysia
UZR3 Mash'al,"Tashkent, Uzbekistan",info@mtrk.uz,Uzbekistan
Fengmin Radio,"Taipei, Taiwan",fengmin.radio@msa.hinet.net,Taiwan
Nanjing Traffic Radio,"Nanjing, Jiangsu, China",webmaster@njjtt.com,China
Europa Plus UAE,"Dubai, United Arab Emirates",info@russianradioworld.com,United Arab Emirates
Orchid Island Radio,"T'ai-tung, Taiwan",lanan147@ms23.hinet.net,Taiwan
RSK,"Okayama, Japan",dondon@rsk.co.jp,Japan
Kol Ha Campus,"Tel Aviv, Israel",gil@106fm.co.il,Israel
Henan Traffic Radio,"Zhengzhou, Henan, China",club@fm1041.net,China
Imruz,"Dushanbe, Tajikistan",info@orionomedia.tj,Tajikistan
Sham FM,"Aleppo, Syrian Arab Republic",Info@shamfm.fm,Syrian Arab Republic
BOSWIN FM,"Pati, Indonesia",fmboswin@yahoo.com,Indonesia
Shantou Music Radio,"Shantou, Guangdong, China",strtv@strtv.cn,China
Suryan FM,"Mangalore, India",queries@sunnetwork.in,India
Radio Kanazawa,"Kanazawa, Japan",mail@radiokanazawa.co.jp,Japan
AIR Radio South Service,"Kozhikode, India",airlive@air.org.in,India
Tag 91.1,"Dubai, United Arab Emirates",tag911@arn.ae,United Arab Emirates
RRI Pro 2 Kendari,"Kendari, Indonesia",rrikdi@gmail.com,Indonesia
Flamboyant FM,"Banda Aceh, Indonesia",flamboyantfm@yahoo.com,Indonesia
Mix FM,"Davao, Philippines",mix1059@yahoo.com,Philippines
Sham FM,"Damascus, Syrian Arab Republic",Info@shamfm.fm,Syrian Arab Republic
Kol Israel Reshet Gimel,"Zefat, Israel",gimmel@iba.org.il,Israel
Rayan FM,"Sweida, Syrian Arab Republic",rayanfm@rayanfm.com,Syrian Arab Republic
Dream FM,"Makati, Philippines",Dreamfm@abc.com.ph,Philippines
Duta FM Ambon,"Ambon, Indonesia",emahaly@yahoo.com,Indonesia
Modern Radio Kalasin,"Kalasin, Thailand",FM_Kalasin@MCOT.NET,Thailand
Nippon Cultural Broadcasting,"Tokyo, Japan",maido@joqr.net,Japan
Radyo Patrol,"Quezon City, Philippines",dzmm630@abs-cbn.com,Philippines
Radio Chaska,"Gwalior, MP, India",info@radiochaska.com,India
DZMS,"Sorsogon, Philippines",pbn_dzms@yahoo.com,Philippines
Gold FM,"Dubai, United Arab Emirates",info@gold1013fm.com,United Arab Emirates
Shandong News Radio,"Jinan, Shandong, China",sdgbw@126.com,China
Ahlen FM,"Amman, Jordan",info@ahlenfm.com,Jordan
Good News FM,"Kathmandu, Bagmati, Nepal",goodnewsfm105@gmail.com,Nepal
FM Hirakata,"Hirakata, Japan",info@kiku-fm779.com,Japan
RTB Pelangi FM,"Bandar Seri Begawan, Brunei Darussalam",pelangi914fm@rtb.gov.bn,Brunei Darussalam
Non Stop Radio,"Tel Aviv, Israel",radio@103.fm,Israel
Y101FM,"Cebu City, Philippines",y101cebu@yahoo.com,Philippines
Shanghai People's Broadcast Radio,"Shanghai, China",stvweb@stv.sh.cn,China
Hunan News Radio,"Changsha, Hunan, China",hnradio@163.com,China
FM Edogawa,"Edogawa, Japan",info@fm843.co.jp,Japan
Mechi Tunes Network,"Jhapa, Nepal",mechitunes@mechitunes.com,Nepal
Happy Radio Chiayi,"Chiayi City, Taiwan",service@musicvein.com.tw,Taiwan
FM Wasshoi,"Hofu, Japan",info@fm-wassyoi.jp,Japan
All India Radio,"Raurkela, OR, India",airlive@air.org.in,India
Modern Radio Chaiyaphum,"Chaiyaphum, Thailand",FM_Chaiyaphum@MCOT.NET,Thailand
Super FM,"T'ai-chung-shih, Taiwan",fm991@superfm99-1.com.tw,Taiwan
Shaanxi Opera Radio,"Xi'an, Shaanxi, China",sxradio6105@126.com,China
Yes FM Iligan,"Iligan, Philippines",info@yesfm.com.ph,Philippines
Radio Mirchi,"Patna, Bihar, India",biman.dutta@timesgroup.com,India
Afno FM,"Dadeldhura, Nepal",info@pfs.com.np,Nepal
Jan FM,"Jhelum, Pakistan", info@janfm.com,Pakistan
Hot FM 105 - Badin,"Badin, Pakistan",feedback@hotfm.com.pk,Pakistan
Galgalatz,"Sulam, Israel",digital@galatz.co.il,Israel
BBC Arabic,"Nasiriyah, Iraq",worldservice@bbc.co.uk,Iraq
All India Radio,"Varanasi, UP, India",airlive@air.org.in,India
Sharjah FM 94.4,"Sharjah, United Arab Emirates",info@sharjahtv.ae,United Arab Emirates
Radio Kuwait 2nd,"Kuwait City, Kuwait",alya7ya@gmail.com,Kuwait
Radio City Hyderabad,"Hyderabad, AP, India",info@planetradiocity.com,India
IRIB R Payam,"Tehran, Iran",Radiopayam@irib.ir,Iran
Guangdong News Radio,"Guangzhou, Guangdong, China",gddtinfo@163.com,China
Guangxi Traffic Radio,"Nanning, Guangxi, China",webmaster@gxjtt.com,China
Radio Arpan,"Tandi, Chitwan, Nepal",info@radioarpan.com,Nepal
CNR The Voice of China,"Beijing, China",cn@cnr.cn,China
Asima-Online,"Damascus, Syrian Arab Republic",radiopartic@gmail.com,Syrian Arab Republic
Suryan FM,"Madras, TN, India",queries@sunnetwork.in,India
FM Tanba,"Fukuchiyama, Japan",info@fm-tanba.jp,Japan
RTM TraXX FM,"Kampung Gurun, Kedah, Malaysia",traxxfm.rtm@gmail.com,Malaysia
AIR Radio South Service,"Madurai, TN, India",airlive@air.org.in,India
FM Riviere,"Asahikawa, Japan",radio@fm837.com,Japan
Chengsheng Broadcasting (FM Taipei),"Taipei, Taiwan",csbc_server@csbc.com.tw,Taiwan
Coast FM,"Numazu, Japan",message@coast-fm.com,Japan
Guangdong Music FM Radio,"Guangzhou, Guangdong, China",musicfm@fm993.com.cn,China
Kol Ha Musica,"Jerusalem, Israel",kolHamusica@iba.org.il,Israel
Yangon City FM,"Yangon, Myanmar",priycdc@mptmail.net.mm,Myanmar
Radio Suseli,"Itahari, Nepal",info@radiosuseli.com,Nepal
Fisheries Government,"Chiang Rai, Thailand",fm103.cr@gmail.com,Thailand
Radio One,"Pune, India",actionfataafat@radioone.in,India
FM Totsuka,"Yokohama, Japan",mail@fm-totsuka.com,Japan
Spice FM 107,"Mirpur, Pakistan",arifmalik7@gmail.com,Pakistan
FM Odawara,"Odawara, Japan",fmo@fm-odawara.com,Japan
AIR Radio South Service,"Thrissur, KL, India",airlive@air.org.in,India
Radio Pakistan - Khuzdar,"Khuzdar, Pakistan",info@radio.gov.pk,Pakistan
95.1 Kiss FM,"Lucena City, Philippines",info@animohosting.com,Philippines
All India Radio,"Shanti Niketan, WB, India",airlive@air.org.in,India
987FM,"Caldecott Hill Estate, SG, Singapore",987fm@mediacorp.com.sg,Singapore
Gyan Vani,"Varanasi, UP , India",imperialravi7@gmail.com,India
Kol Ha Musica,"Zefat, Israel",kolHamusica@iba.org.il,Israel
Radio Mirchi,"Visakhapatnam, Andhra Pradesh, India",sasi.mouli@timesgroup.com,India
Ningxia News Radio,"Yinchuan, Ningxia, China",fm1061@nxtv.cn,China
RMN Cebu,"Cebu City, Philippines",ifmmanila@rmn.ph,Philippines
Bay FM,"Chiba, Japan",info_bayfm@media-click.net,Japan
NICE FM 92.3,"I-lan, Taiwan",Nice923@gmail.com,Taiwan
Jiangxi News Radio,"Jiangxi , China",jxgbdt@mail.jxgdw.com,China
RTHK Radio 1,"Kowloon, Hong Kong",radio1@rthk.hk,Hong Kong
103.7 Best FM,"Balikpapan, Indonesia",bestfm1037@gmail.com,Indonesia
Hot FM 105,"Karachi, Pakistan",feedback@hotfm.com.pk,Pakistan
NERCH,"Chang-hua, Taiwan",james@nerch.gov.tw,Taiwan
Pattaya Talk FM,"Pattaya, Thailand",info@passionfm.asia,Thailand
Kol Israel Reshet Bet,"Jerusalem, Israel",radio2@iba.org.il,Israel
Mero Sathi FM,"Tanahun , Nepal",merosaathifm@gmail.com,Nepal
FM IS,"Shuzenji, Japan",872@fmis.jp,Japan
Xiamen Traffic and Finance Radio,"Xiamen, Fujian, China",liuxm@zx.xmgd.com,China
Radio Nanao,"Nanao, Japan",radionanao@nanao.nsk.ne.jp,Japan
ABC Shaa FM,"Colombo, Sri Lanka",md@asiabroadcasting.lk,Sri Lanka
Banana FM,"Wakayama, Japan",r@877.fm,Japan
Inter FM,"Tokyo, Japan",admini@interfm.co.jp,Japan
Radio Xpress,"Nepalgunj, Nepal",info@radioxpressfm.com,Nepal
Shijiazhuang Traffic Radio,"Shijiazhuang, Hebei, China",sjzgdw@126.com,China
All India Radio,"Gorakhpur, UP, India",airlive@air.org.in,India
KARIMATA FM,"Pamekasan, Indonesia",marketing@karimatafm.com,Indonesia
Natoraji,"Natori, Japan",801mhz@fmnatori.jp,Japan
Wish 1075,"Pasig, Philippines",info@wish1075.com,Philippines
Jiangxi Life Radio,"Nanchang, Jiangxi , China",jxgbdt@mail.jxgdw.com,China
FM Aqua,"Nagato, Japan",878@fmaqua.jp,Japan
Pro 2 RRI Manado,"Manado, Indonesia",pro2manado@gmail.com,Indonesia
PBC Busan Peace Radio,"부산, South Korea",pbcbs@outlook.com,South Korea
988FM,"Ipoh, Perak, Malaysia",feedback@988.com.my,Malaysia
Free Palestine Radio,"Gaza, Palestinian Territory",info@FreePalestineRadio.com,Palestinian Territory
Radio Rai Husar,"Aileu, Timor-Leste",borges_aileu@yahoo.co.id,Timor-Leste
Gyan Vani,"Madras, TN , India",imperialravi7@gmail.com,India
BFM 89.9,"Petaling Jaya, Malaysia",enquiry@bfm.my,Malaysia
Flower Radio,"Konosu, Japan",info@fm767.com,Japan
Hunan Economic Radio,"Changsha, Hunan, China",ou3902@163.com,China
Radio Oolala - Guwahati,"Guwahati, India",radio-ooolala@radio-ooolala.com,India
Ria FM,"Caldecott Hill Estate, SG, Singapore",onlinesales@mediacorp.com.sg,Singapore
Golden Vox 955,"Changsha, Hunan, China",jy955dt@163.com,China
Nebula FM Palu,"Palu, Indonesia",redaksi@radionebula101fm.com,Indonesia
Dil FM Kasur,"Kasur, Pakistan",info@fmdil.com,Pakistan
Radio Emtsa Haderech,"Netanya, Israel",radio@90fm.co.il,Israel
AIR Radio North East Service,"Nagaon, AS, India",airlive@air.org.in,India
Radio Mirchi,"Surat, Gujarat, India",krishnan.iyer@timesgroup.com,India
CRT,"Utsunomiya, Japan",crt@crt-radio.co.jp,Japan
ACB FM,"Akita, Japan",acb@fm765.com,Japan
RRI Banda Aceh,"Banda Aceh, Indonesia",sekretariat@rribandaaceh.net,Indonesia
Sawt El Ghad,"Ramallah, Palestinian Territory",info@ghad.ps,Palestinian Territory
Bombo Radyo Tuguegarao,"Tuguegarao, Philippines",bombo_tuguegarao@bomboradyo.info,Philippines
Phoolbari FM,"Kailali, Nepal",phoolbarifm@gmail.com,Nepal
RMN Koronadal,"Koronadal, Philippines",info@rmnkoronadal.com,Philippines
Monster Radio,"Pasig, Philippines",info@rx931.com,Philippines
Radio Uzbegim Taronasi,"Tashkent, Uzbekistan",info@fm101.uz,Uzbekistan
FM Yame,"Fukuoka, Japan",info@fmyame.jp,Japan
Sout Raya,"Damascus, Syrian Arab Republic",nasser.soutraya@gmail.com,Syrian Arab Republic
Gurkha FM,"Kathmandu, Nepal",info@gorkhafm.com,Nepal
Radio Trip Phuket,"Phuket, Thailand",proaddgroup@gmail.com,Thailand
Ningbo City & Life Radio,"Ningbo, Zhejiang, China",webmaster@nbradio.com,China
FM Chiao!,"Atami, Japan",fm@ciao796.com,Japan
Machhapuchhre FM,"Kaski, Nepal",machhapuchhrefm@gmail.com,Nepal
Radio Pakistan,"Islamabad, Pakistan",info@radio.gov.pk,Pakistan
Shaanxi Story Radio,"Xi'an, Shaanxi, China",sxradio6105@126.com,China
Solu FM,"Salleri, Nepal",solufm@gmail.com,Nepal
Thr Raaga,"Johor Bahru, Malaysia",webmaster@thr.fm,Malaysia
City FM 97.1,"Hsin-ying, Taiwan",service@cityfm.tw,Taiwan
Ruian Radio,"Rui'an, Zhejiang, China",ruianguangdian@163.com,China
"Ralita 89,9","Pamekasan, Indonesia",ralita899fm@gmail.com,Indonesia
Henan My Radio,"Zhengzhou, Henan, China",services@contact.hnr.cn,China
Radio Gramang 107.9 FM,"Trenggalek, Indonesia",listen@x7.com,Indonesia
Huadu Radio,"Guangzhou, Guangdong, China",hdtonline@163.com,China
BSN Radio,"Niigata, Japan",jusin-sodan@bsn-niigata.co.jp,Japan
Ningbo News Radio,"Ningbo, Zhejiang, China",webmaster@nbradio.com,China
